Protein IDs,Gene names,genotype,nutrient,samplingTime,replicate,ratio,normalized_ratio,intensity,normalized_intensity
O13297,CET1,rim15KO,C,T00,R1,0.75915,0.81315,76538001,34876517.79
O13297,CET1,rim15KO,C,T00,R2,1.0049,1.0295,77854001,29430508.01
O13297,CET1,rim15KO,C,T00,R3,0.79534,0.91341,138520001,42353928.17
O13297,CET1,rim15KO,C,T06,R1,1.1866,1.5883,26364001,29127087.53
O13297,CET1,rim15KO,C,T06,R2,1.3538,1.6324,43628001,57005422.53
O13297,CET1,rim15KO,C,T06,R3,0.63205,0.96458,59815001,53044822.01
O13297,CET1,rim15KO,C,T16,R1,0.94339,1.9228,34416001,55122117.2
O13297,CET1,rim15KO,C,T16,R2,0.74346,1.4566,34070001,73041299.54
O13297,CET1,rim15KO,C,T16,R3,0.84062,1.5855,29510001,38457093.99
O13297,CET1,rim15KO,C,T30,R1,0.90911,1.9582,54299001,94597824.61
O13297,CET1,rim15KO,C,T30,R2,0.68906,1.3599,25587001,64232843.93
O13297,CET1,rim15KO,C,T30,R3,1.0145,2.2556,18023001,36025383.33
O13297,CET1,rim15KO,P,T00,R1,0.75915,0.81315,76538001,34876517.79
O13297,CET1,rim15KO,P,T00,R2,0.93416,0.99453,77854001,29430508.01
O13297,CET1,rim15KO,P,T00,R3,0.79534,0.91341,138520001,42353928.17
O13297,CET1,rim15KO,P,T06,R1,1.254,1.2604,76078001,64093064.29
O13297,CET1,rim15KO,P,T06,R2,0.96495,1.1645,34005001,30957215.64
O13297,CET1,rim15KO,P,T06,R3,0.882,0.96919,41982001,46626451.61
O13297,CET1,rim15KO,P,T16,R1,0.74958,1.1152,52177001,69370307.94
O13297,CET1,rim15KO,P,T16,R2,0.85032,1.0986,58923001,40671296.94
O13297,CET1,rim15KO,P,T16,R3,0.53365,0.95744,45408001,60977033.99
O13297,CET1,rim15KO,P,T30,R1,0.64403,1.0403,29765001,43800307.28
O13297,CET1,rim15KO,P,T30,R2,0.5431,1.0106,35907001,41807293.53
O13297,CET1,rim15KO,P,T30,R3,0.59774,1.208,18783001,44061804.31
O13297,CET1,WT,C,T00,R1,1.0149,0.90682,86094001,30885996.77
O13297,CET1,WT,C,T00,R2,0.93416,0.99453,143800001,53375242.64
O13297,CET1,WT,C,T00,R3,0.98345,0.84982,215510001,47939017.05
O13297,CET1,WT,C,T06,R1,0.86771,1.3354,18245001,24721860.62
O13297,CET1,WT,C,T06,R2,0.87213,1.3175,65409001,62257870.83
O13297,CET1,WT,C,T06,R3,0.77098,1.0518,71248001,58929911.29
O13297,CET1,WT,C,T16,R1,0.59254,1.3922,22478001,48348063.54
O13297,CET1,WT,C,T16,R2,0.38074,1.0069,88523001,102683690.4
O13297,CET1,WT,C,T16,R3,0.81561,1.4872,36633001,48089477.07
O13297,CET1,WT,C,T30,R1,0.42519,1.0867,31322001,80084865.4
O13297,CET1,WT,C,T30,R2,0.36915,1.0058,39381001,54787112.61
O13297,CET1,WT,C,T30,R3,0.57743,1.0799,13378001,23098391.58
O13297,CET1,WT,P,T00,R1,1.0149,0.90682,86094001,30885996.77
O13297,CET1,WT,P,T00,R2,1.0049,1.0295,143800001,53375242.64
O13297,CET1,WT,P,T00,R3,0.98345,0.84982,215510001,47939017.05
O13297,CET1,WT,P,T06,R1,0.89897,1.1668,42658001,43172890.08
O13297,CET1,WT,P,T06,R2,0.59441,1.2541,16249001,29428174.21
O13297,CET1,WT,P,T06,R3,0.94497,1.0453,40898001,41726856.03
O13297,CET1,WT,P,T16,R1,0.65336,1.1042,40275001,64326988.74
O13297,CET1,WT,P,T16,R2,0.78509,1.0574,43651001,32277759.51
O13297,CET1,WT,P,T16,R3,0.45787,0.71545,31772001,37118106.57
O13297,CET1,WT,P,T30,R1,0.55132,1.1302,26851001,53814964.57
O13297,CET1,WT,P,T30,R2,0.52769,1.0724,38322001,53511132.35
O13297,CET1,WT,P,T30,R3,0.54742,1.057,23410001,45339199.57
O13547,CCW14,rim15KO,C,T00,R1,0.87269,0.97908,39049001,17793686.28
O13547,CCW14,rim15KO,C,T00,R2,1.0876,1.106,80987001,30614850.25
O13547,CCW14,rim15KO,C,T00,R3,0.61346,0.71246,67066001,20506125.97
O13547,CCW14,rim15KO,C,T06,R1,NaN,NaN,10978001,12128553.48
O13547,CCW14,rim15KO,C,T06,R2,NaN,NaN,5048801,6596887.954
O13547,CCW14,rim15KO,C,T06,R3,0.55615,0.82588,20039001,17770880.61
O13547,CCW14,rim15KO,C,T16,R1,NaN,NaN,1,1.601642131
O13547,CCW14,rim15KO,C,T16,R2,NaN,NaN,1,2.143859624
O13547,CCW14,rim15KO,C,T16,R3,NaN,NaN,1,1.303188502
O13547,CCW14,rim15KO,C,T30,R1,NaN,NaN,9250801,16116422.67
O13547,CCW14,rim15KO,C,T30,R2,NaN,NaN,1,2.510370165
O13547,CCW14,rim15KO,C,T30,R3,NaN,NaN,1,1.99885598
O13547,CCW14,rim15KO,P,T00,R1,0.87269,0.97908,39049001,17793686.28
O13547,CCW14,rim15KO,P,T00,R2,0.85728,0.88936,80987001,30614850.25
O13547,CCW14,rim15KO,P,T00,R3,0.61346,0.71246,67066001,20506125.97
O13547,CCW14,rim15KO,P,T06,R1,1.0115,1.0634,46677001,39323746.5
O13547,CCW14,rim15KO,P,T06,R2,0.97629,1.1736,27645001,25167246.94
O13547,CCW14,rim15KO,P,T06,R3,0.78772,0.86996,32943001,36587470.95
O13547,CCW14,rim15KO,P,T16,R1,0.39264,0.60649,23278001,30948541.82
O13547,CCW14,rim15KO,P,T16,R2,0.59708,0.78439,63397001,43759452.32
O13547,CCW14,rim15KO,P,T16,R3,NaN,NaN,1,1.342869817
O13547,CCW14,rim15KO,P,T30,R1,NaN,NaN,6957801,10238663.25
O13547,CCW14,rim15KO,P,T30,R2,0.44295,0.82418,38811001,45188483.18
O13547,CCW14,rim15KO,P,T30,R3,0.49543,1.0395,17957001,42124145.34
O13547,CCW14,WT,C,T00,R1,1.1989,1.0989,87257001,31303219.96
O13547,CCW14,WT,C,T00,R2,0.85728,0.88936,73651001,27337552.31
O13547,CCW14,WT,C,T00,R3,1.2381,1.0661,116130001,25832481.43
O13547,CCW14,WT,C,T06,R1,NaN,NaN,8335401,11294415.48
O13547,CCW14,WT,C,T06,R2,NaN,NaN,3839801,3654815.561
O13547,CCW14,WT,C,T06,R3,0.44158,0.59687,17781001,14706838.04
O13547,CCW14,WT,C,T16,R1,NaN,NaN,1,2.150905836
O13547,CCW14,WT,C,T16,R2,NaN,NaN,1,1.159966215
O13547,CCW14,WT,C,T16,R3,NaN,NaN,1,1.312736488
O13547,CCW14,WT,C,T30,R1,NaN,NaN,7457801,19068289.71
O13547,CCW14,WT,C,T30,R2,NaN,NaN,1,1.391206704
O13547,CCW14,WT,C,T30,R3,NaN,NaN,1,1.726595145
O13547,CCW14,WT,P,T00,R1,1.1989,1.0989,87257001,31303219.96
O13547,CCW14,WT,P,T00,R2,1.0876,1.106,73651001,27337552.31
O13547,CCW14,WT,P,T00,R3,1.2381,1.0661,116130001,25832481.43
O13547,CCW14,WT,P,T06,R1,0.82505,1.0154,39521001,39998025.97
O13547,CCW14,WT,P,T06,R2,0.40147,0.84199,11127001,20151843.42
O13547,CCW14,WT,P,T06,R3,0.94801,1.0302,36780001,37525399.02
