strain,SamplingTime,nutrient,cellcounts
wt,0,C,2.37E+06
wt,0,N,2.37E+06
wt,0,P,2.40E+06
rim15,0,C,1.80E+06
rim15,0,N,2.05E+06
rim15,0,P,1.86E+06
wt,3,C,2.75E+06
wt,3,N,4.12E+06
wt,3,P,3.60E+06
rim15,3,C,2.65E+06
rim15,3,N,2.86E+06
rim15,3,P,2.53E+06
wt,6,C,3.75E+06
wt,6,N,7.43E+06
wt,6,P,5.44E+06
rim15,6,C,2.95E+06
rim15,6,N,4.03E+06
rim15,6,P,2.63E+06
wt,9,C,5.20E+06
wt,9,N,1.15E+07
wt,9,P,7.56E+06
rim15,9,C,3.65E+06
rim15,9,N,8.08E+06
rim15,9,P,4.04E+06
wt,20,C,7.97E+06
wt,20,N,1.34E+07
wt,20,P,9.32E+06
rim15,20,C,6.96E+06
rim15,20,N,1.45E+07
rim15,20,P,5.69E+06
wt,46,C,7.50E+06
wt,46,N,1.39E+07
wt,46,P,9.23E+06
rim15,46,C,7.60E+06
rim15,46,N,1.39E+07
rim15,46,P,5.13E+06
