Strain,Media,Time,mean_pct,sem_pct
WT,C,6,47.89945518,2.916251213
WT,C,16,77.43238168,1.4447034
WT,C,30,72.7292278,1.690709134
WT,C,46,76.86397475,1.078638878
WT,Control,0,44.09836509,1.401972739
WT,N,6,47.06154681,0.815000036
WT,N,16,96.86861927,0.084191796
WT,N,30,99.04060177,0.313052537
WT,N,46,99.57384157,0.068421394
WT,P,6,77.50043356,0.369309675
WT,P,16,97.21325629,0.292461432
WT,P,30,97.87299455,0.169134911
WT,P,46,98.05092163,0.325748221
rim15delta0,C,6,52.09676009,2.056941192
rim15delta0,C,16,56.26351335,1.650852771
rim15delta0,C,30,57.96643986,0.886819528
rim15delta0,C,46,65.99366356,1.781418218
rim15delta0,Control,0,43.69171378,0.175742887
rim15delta0,N,6,43.89280257,0.299966479
rim15delta0,N,16,80.91392614,0.781949739
rim15delta0,N,30,90.76959184,2.29189407
rim15delta0,N,46,93.11807373,0.434427564
rim15delta0,P,6,71.76726209,2.339068471
rim15delta0,P,16,91.01333551,0.592666834
rim15delta0,P,30,92.91003063,0.507731116
rim15delta0,P,46,94.30322851,0.369798009
