strain,time,nutrient,counts,replicate,viability
rim15,0,C,1.18E+06,1,95.02%
rim15,6,C,3.54E+06,1,92.70%
rim15,16,C,6.63E+06,1,91.30%
rim15,30,C,6.83E+06,1,90.20%
rim15,168,C,7.26E+06,1,94.00%
rim15,264,C,7.16E+06,1,97.30%
rim15,0,N,1.79E+06,1,90.10%
rim15,6,N,7.43E+06,1,83.10%
rim15,16,N,2.27E+07,1,96.40%
rim15,30,N,2.41E+07,1,91.00%
rim15,168,N,2.57E+07,1,81.70%
rim15,264,N,2.50E+07,1,63.40%
rim15,0,P,1.82E+06,1,91.70%
rim15,6,P,4.53E+06,1,93.90%
rim15,16,P,7.00E+06,1,98.00%
rim15,30,P,6.75E+06,1,91.70%
rim15,168,P,7.28E+06,1,73.50%
rim15,264,P,7.00E+06,1,45.90%
rim15,0,C,2.00E+06,2,95.02%
rim15,6,C,3.98E+06,2,92.70%
rim15,16,C,7.57E+06,2,91.30%
rim15,30,C,7.26E+06,2,90.20%
rim15,168,C,6.78E+06,2,94.00%
rim15,264,C,7.00E+06,2,97.30%
rim15,0,N,2.19E+06,2,90.10%
rim15,6,N,6.16E+06,2,83.10%
rim15,16,N,2.02E+07,2,96.40%
rim15,30,N,2.35E+07,2,91.00%
rim15,168,N,2.51E+07,2,81.70%
rim15,264,N,2.40E+07,2,63.40%
rim15,0,P,2.73E+06,2,91.70%
rim15,6,P,4.63E+06,2,93.90%
rim15,16,P,7.30E+06,2,98.00%
rim15,30,P,7.72E+06,2,91.70%
rim15,168,P,7.90E+06,2,73.50%
rim15,264,P,8.00E+06,2,45.90%
rim15,0,C,2.00E+06,3,95.02%
rim15,6,C,4.16E+06,3,92.70%
rim15,16,C,7.24E+06,3,91.30%
rim15,30,C,8.01E+06,3,90.20%
rim15,168,C,6.64E+06,3,94.00%
rim15,264,C,7.00E+06,3,97.30%
rim15,0,N,1.66E+06,3,90.10%
rim15,6,N,3.24E+06,3,83.10%
rim15,16,N,1.85E+07,3,96.40%
rim15,30,N,2.16E+07,3,91.00%
rim15,168,N,2.27E+07,3,81.70%
rim15,264,N,2.00E+07,3,63.40%
rim15,0,P,2.11E+06,3,91.70%
rim15,6,P,2.80E+06,3,93.90%
rim15,16,P,4.23E+06,3,98.00%
rim15,30,P,4.08E+06,3,91.70%
rim15,168,P,4.20E+06,3,73.50%
rim15,264,P,4.00E+06,3,45.90%
wt,0,C,1.87E+06,1,87.30%
wt,6,C,3.96E+06,1,94.90%
wt,16,C,6.04E+06,1,96.20%
wt,30,C,5.79E+06,1,98.10%
wt,168,C,5.61E+06,1,99.40%
wt,264,C,5.67E+06,1,99.40%
wt,0,N,1.66E+06,1,90.30%
wt,6,N,9.73E+06,1,95.70%
wt,16,N,2.98E+07,1,98.40%
wt,30,N,2.64E+07,1,99.20%
wt,168,N,3.13E+07,1,99.50%
wt,264,N,3.00E+07,1,98.30%
wt,0,P,1.53E+06,1,94.50%
wt,6,P,7.24E+06,1,94.70%
wt,16,P,1.06E+07,1,97.40%
wt,30,P,9.93E+06,1,96.70%
wt,168,P,1.32E+07,1,95.20%
wt,264,P,1.00E+07,1,86.20%
wt,0,C,2.21E+06,2,87.30%
wt,6,C,3.53E+06,2,94.90%
wt,16,C,6.04E+06,2,96.20%
wt,30,C,6.48E+06,2,98.10%
wt,168,C,5.92E+06,2,99.40%
wt,264,C,6.00E+06,2,99.40%
wt,0,N,2.14E+06,2,90.30%
wt,6,N,6.02E+06,2,95.70%
wt,16,N,2.00E+07,2,98.40%
wt,30,N,2.01E+07,2,99.20%
wt,168,N,2.11E+07,2,99.50%
wt,264,N,2.20E+07,2,98.30%
wt,0,P,2.52E+06,2,94.50%
wt,6,P,5.67E+06,2,94.70%
wt,16,P,9.37E+06,2,97.40%
wt,30,P,1.03E+07,2,96.70%
wt,168,P,1.17E+07,2,95.20%
wt,264,P,1.03E+07,2,86.20%
wt,0,C,1.85E+06,3,87.30%
wt,6,C,4.16E+06,3,94.90%
wt,16,C,6.05E+06,3,96.20%
wt,30,C,6.67E+06,3,98.10%
wt,168,C,5.52E+06,3,99.40%
wt,264,C,6.02E+06,3,99.40%
wt,0,N,9.57E+05,3,90.30%
wt,6,N,3.77E+06,3,95.70%
wt,16,N,1.70E+07,3,98.40%
wt,30,N,1.83E+07,3,99.20%
wt,168,N,1.76E+07,3,99.50%
wt,264,N,1.80E+07,3,98.30%
wt,0,P,2.06E+06,3,94.50%
wt,6,P,3.30E+06,3,94.70%
wt,16,P,6.54E+06,3,97.40%
wt,30,P,5.27E+06,3,96.70%
wt,168,P,5.70E+06,3,95.20%
wt,264,P,5.50E+06,3,86.20%
