Strain,Media,Time,mean_fsc,sem_fsc
WT,C,0,754324.2109375,15263.642396372019
WT,C,6,602423.125,3462.6153660458863
WT,C,16,483831.8333333333,5142.934312771855
WT,C,30,528764.125,23519.62079860326
WT,C,46,516865.7916666667,22608.644688744444
WT,N,0,850024.5416666666,16051.137677872395
WT,N,6,898992.4583333334,2479.95044908688
WT,N,16,781045.8333333334,17240.01394808373
WT,N,30,675667.9166666666,9389.298337675267
WT,N,46,735801.25,2276.0485083802587
WT,P,0,799249.125,12272.40898062909
WT,P,6,715588.03125,8612.081792674227
WT,P,16,867822.78125,9406.464352849018
WT,P,30,942672.3333333334,3415.57861251158
WT,P,46,972888.0833333334,3708.3305125808565
rim15Δ,C,0,706769.8125,1819.9999999999998
rim15Δ,C,6,583113.8541666666,20880.586189480397
rim15Δ,C,16,508050.96875,3167.089083376764
rim15Δ,C,30,417003.1822916667,15879.014928851986
rim15Δ,C,46,413896.8854166667,16902.300584985842
rim15Δ,N,0,775094.8020833334,18025.115345408412
rim15Δ,N,6,947132.5416666666,16674.26571288555
rim15Δ,N,16,562325.7604166666,13416.903468500144
rim15Δ,N,30,469547.5260416667,3849.9625074939568
rim15Δ,N,46,441896.7760416667,4427.954368039918
rim15Δ,P,0,772248.0833333334,12170.874992836561
rim15Δ,P,6,784396.90625,6567.819103604276
rim15Δ,P,16,936802.46875,21009.40157350723
rim15Δ,P,30,1005990.25,18063.14878131256
rim15Δ,P,46,971072.5833333334,15350.68679789607
