Protein IDs,Protein names,Gene names,Fasta headers,nutrient,time,pvalue,qvalue,log2FC
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,C,T00,0.482667212,0.640921495,0.052265
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,C,T06,0.122855573,0.309311148,-0.350935
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,C,T16,0.028911082,0.153898381,-0.596776667
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,C,T30,0.002934648,0.061966571,-0.986593333
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,P,T00,0.222156178,0.409199526,0.094306653
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,P,T06,0.622636489,0.751251411,-0.043192751
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,P,T16,0.360952469,0.539049291,-0.087044099
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,P,T30,0.619977453,0.749361788,-0.033267843
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,C,T00,0.316851254,0.499209817,0.175803333
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,P,T00,0.010693697,0.098547763,0.351439219
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,P,T06,0.526427644,0.67701194,-0.060280789
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,C,T00,0.579046127,0.719526992,-0.03461
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,C,T06,0.187930001,0.374429145,-0.224755
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,C,T16,0.021127663,0.131517013,-0.304238333
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,C,T30,0.017173201,0.120787073,-0.394656667
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,P,T00,0.062631348,0.228856525,-0.113375828
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,P,T06,0.814123347,0.885993971,-0.00665512
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,P,T30,0.217158458,0.403898646,0.099691373
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,C,T00,0.887777672,0.931901828,-0.00127
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,C,T06,0.649292789,0.770320162,0.015068333
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,C,T16,0.028541471,0.153145737,-0.067291667
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,C,T30,0.833218288,0.897108226,0.006536667
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,P,T00,0.342358958,0.524729972,0.009150177
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,P,T06,0.085104294,0.264763803,0.367781771
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,P,T16,0.128522921,0.314279741,0.534794685
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,P,T30,0.134528676,0.319160673,0.672974977
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,C,T00,0.1737786,0.358661475,0.04375
