network,nutrient,genotype,timepoint_h,replicate,module,eigengene
C_WT,C,WT,0,R1,blue,0.39146134162259266
C_WT,C,WT,0,R2,blue,0.3960062331682501
C_WT,C,WT,0,R3,blue,0.40572617994467997
C_WT,C,WT,6,R1,blue,0.16501849307936264
C_WT,C,WT,6,R2,blue,0.14781729080852452
C_WT,C,WT,6,R3,blue,0.10863285827004064
C_WT,C,WT,16,R1,blue,-0.1731657230252127
C_WT,C,WT,16,R2,blue,-0.20342415385945786
C_WT,C,WT,16,R3,blue,-0.25293649099431
C_WT,C,WT,30,R1,blue,-0.27480922400874286
C_WT,C,WT,30,R2,blue,-0.3297234854191622
C_WT,C,WT,30,R3,blue,-0.38060331958656485
C_WT,C,WT,0,R1,turquoise,-0.4645506485032499
C_WT,C,WT,0,R2,turquoise,-0.5356407749322587
C_WT,C,WT,0,R3,turquoise,-0.4402636902071967
C_WT,C,WT,6,R1,turquoise,0.13689135606856231
C_WT,C,WT,6,R2,turquoise,-0.024210899567439693
C_WT,C,WT,6,R3,turquoise,0.11841630759195991
C_WT,C,WT,16,R1,turquoise,0.2896932488882942
C_WT,C,WT,16,R2,turquoise,0.13085690068913383
C_WT,C,WT,16,R3,turquoise,0.21877822336974478
C_WT,C,WT,30,R1,turquoise,0.24012662095085557
C_WT,C,WT,30,R2,turquoise,0.09744915451058037
C_WT,C,WT,30,R3,turquoise,0.23245420114101406
C_rim15,C,rim15,0,R1,blue,0.3824215974739471
C_rim15,C,rim15,0,R2,blue,0.3880998807721451
C_rim15,C,rim15,0,R3,blue,0.3204389882262464
C_rim15,C,rim15,6,R1,blue,0.11210650207639822
C_rim15,C,rim15,6,R2,blue,0.16546682241365065
C_rim15,C,rim15,6,R3,blue,-0.07554674000847396
C_rim15,C,rim15,16,R1,blue,-0.22805967080911896
C_rim15,C,rim15,16,R2,blue,-0.028506493979655708
C_rim15,C,rim15,16,R3,blue,-0.4686650205096034
C_rim15,C,rim15,30,R1,blue,-0.09143909471299629
C_rim15,C,rim15,30,R2,blue,0.04514881159662792
C_rim15,C,rim15,30,R3,blue,-0.5214655825391671
C_rim15,C,rim15,0,R1,brown,0.37413924927004644
C_rim15,C,rim15,0,R2,brown,0.30373141556362454
C_rim15,C,rim15,0,R3,brown,0.20813322158225545
C_rim15,C,rim15,6,R1,brown,0.3115213033178981
C_rim15,C,rim15,6,R2,brown,0.1997793406082316
C_rim15,C,rim15,6,R3,brown,0.1472705726743952
C_rim15,C,rim15,16,R1,brown,-0.19717791703617812
C_rim15,C,rim15,16,R2,brown,-0.3908040447431294
C_rim15,C,rim15,16,R3,brown,0.07014906461105068
C_rim15,C,rim15,30,R1,brown,-0.23474093301698243
C_rim15,C,rim15,30,R2,brown,-0.4123949214203725
C_rim15,C,rim15,30,R3,brown,-0.37960635141083926
C_rim15,C,rim15,0,R1,turquoise,-0.4778582209625845
C_rim15,C,rim15,0,R2,turquoise,-0.4297349307143269
C_rim15,C,rim15,0,R3,turquoise,-0.45463640627406743
C_rim15,C,rim15,6,R1,turquoise,-0.023878976352265158
C_rim15,C,rim15,6,R2,turquoise,-0.07504439695174928
C_rim15,C,rim15,6,R3,turquoise,-0.03175820679163835
C_rim15,C,rim15,16,R1,turquoise,0.24710710247195417
C_rim15,C,rim15,16,R2,turquoise,0.2237764792914646
C_rim15,C,rim15,16,R3,turquoise,0.2646056733929448
C_rim15,C,rim15,30,R1,turquoise,0.266610259041965
C_rim15,C,rim15,30,R2,turquoise,0.23141211866802586
C_rim15,C,rim15,30,R3,turquoise,0.2593995051802767
P_WT,P,WT,0,R1,blue,-0.4687082923610893
P_WT,P,WT,0,R2,blue,-0.44855337194043154
P_WT,P,WT,0,R3,blue,-0.4098967090317484
P_WT,P,WT,6,R1,blue,0.3891079136821375
P_WT,P,WT,6,R2,blue,0.33550183853246596
P_WT,P,WT,6,R3,blue,0.34779128069382886
P_WT,P,WT,16,R1,blue,0.06753709164338842
P_WT,P,WT,16,R2,blue,0.11920115813316268
P_WT,P,WT,16,R3,blue,0.04855854441050951
P_WT,P,WT,30,R1,blue,-0.027833737236296573
P_WT,P,WT,30,R2,blue,0.06333764063774701
P_WT,P,WT,30,R3,blue,-0.016043357163674513
P_WT,P,WT,0,R1,brown,-0.08649210497508676
P_WT,P,WT,0,R2,brown,-0.14575281863820289
P_WT,P,WT,0,R3,brown,-0.11552005589036303
P_WT,P,WT,6,R1,brown,0.5858441404412816
P_WT,P,WT,6,R2,brown,0.4015978349065029
P_WT,P,WT,6,R3,brown,0.3767652651957333
P_WT,P,WT,16,R1,brown,0.07196180042113708
P_WT,P,WT,16,R2,brown,-0.06611126906846258
P_WT,P,WT,16,R3,brown,-0.11189164631599706
P_WT,P,WT,30,R1,brown,-0.2141883735696371
P_WT,P,WT,30,R2,brown,-0.37242091450117965
P_WT,P,WT,30,R3,brown,-0.3237918580057255
P_WT,P,WT,0,R1,turquoise,0.4124424311511785
P_WT,P,WT,0,R2,turquoise,0.4248546555087436
P_WT,P,WT,0,R3,turquoise,0.38683403060428334
P_WT,P,WT,6,R1,turquoise,0.11657758002467034
P_WT,P,WT,6,R2,turquoise,0.13812956792891878
P_WT,P,WT,6,R3,turquoise,0.07369148688307554
P_WT,P,WT,16,R1,turquoise,-0.2532276397730694
P_WT,P,WT,16,R2,turquoise,-0.1189581451988957
P_WT,P,WT,16,R3,turquoise,-0.1488565674060372
P_WT,P,WT,30,R1,turquoise,-0.4090066294169913
P_WT,P,WT,30,R2,turquoise,-0.3209232923600741
P_WT,P,WT,30,R3,turquoise,-0.30155747794580323
P_rim15,P,rim15,0,R1,blue,-0.47505430988274117
P_rim15,P,rim15,0,R2,blue,-0.4277296591757185
P_rim15,P,rim15,0,R3,blue,-0.40121904808263015
P_rim15,P,rim15,6,R1,blue,0.3358137290552673
P_rim15,P,rim15,6,R2,blue,0.41818952713695745
P_rim15,P,rim15,6,R3,blue,0.35178523585980914
P_rim15,P,rim15,16,R1,blue,0.071594362016867
P_rim15,P,rim15,16,R2,blue,0.08393111584785391
P_rim15,P,rim15,16,R3,blue,0.05086266255665091
P_rim15,P,rim15,30,R1,blue,0.038662769439445854
P_rim15,P,rim15,30,R2,blue,0.005208673042891403
P_rim15,P,rim15,30,R3,blue,-0.05204505781465425
P_rim15,P,rim15,0,R1,brown,0.09662168933744016
P_rim15,P,rim15,0,R2,brown,0.1781680479949267
P_rim15,P,rim15,0,R3,brown,0.17534176870574156
P_rim15,P,rim15,6,R1,brown,0.39764810712777326
P_rim15,P,rim15,6,R2,brown,0.3478030774276872
P_rim15,P,rim15,6,R3,brown,0.3090243484594394
P_rim15,P,rim15,16,R1,brown,-0.21898794881995337
P_rim15,P,rim15,16,R2,brown,0.010210749804120853
P_rim15,P,rim15,16,R3,brown,-0.09297108730441042
P_rim15,P,rim15,30,R1,brown,-0.3111655861640585
P_rim15,P,rim15,30,R2,brown,-0.41047260712133404
P_rim15,P,rim15,30,R3,brown,-0.48122055944737285
P_rim15,P,rim15,0,R1,turquoise,0.44183849298316097
P_rim15,P,rim15,0,R2,turquoise,0.4277099994350939
P_rim15,P,rim15,0,R3,turquoise,0.42032689361074066
P_rim15,P,rim15,6,R1,turquoise,0.08568485112957734
P_rim15,P,rim15,6,R2,turquoise,0.07765927000994285
P_rim15,P,rim15,6,R3,turquoise,0.04889007529668611
P_rim15,P,rim15,16,R1,turquoise,-0.2719391000803518
P_rim15,P,rim15,16,R2,turquoise,-0.08968462586646378
P_rim15,P,rim15,16,R3,turquoise,-0.15826141075443692
P_rim15,P,rim15,30,R1,turquoise,-0.33467248137964145
P_rim15,P,rim15,30,R2,turquoise,-0.3051106918119166
P_rim15,P,rim15,30,R3,turquoise,-0.34244127257239115
