orf,gene,ThisStudy,Paulo2015
YAL003W,EFB1,1,1
YAL005C,SSA1,1,1
YAL012W,CYS3,1,1
YAL016W,TPD3,1,1
YAL021C,CCR4,1,1
YAL023C,PMT2,1,1
YAL035W,FUN12,1,1
YAL036C,RBG1,1,1
YAL038W,CDC19,1,1
YAL041W,CDC24,1,1
YAL042W,ERV46,1,1
YAL060W,BDH1,1,1
YAR002C-A,ERP1,1,1
YAR007C,RFA1,1,1
YAR015W,ADE1,1,1
YAR042W,SWH1,1,1
YBL004W,UTP20,1,1
YBL007C,SLA1,1,1
YBL015W,ACH1,1,1
YBL022C,PIM1,1,1
YBL024W,NCL1,1,1
YBL032W,HEK2,1,1
YBL033C,RIB1,1,1
YBL036C,NA,1,1
YBL039C,URA7,1,1
YBL041W,PRE7,1,1
YBL045C,COR1,1,1
YBL047C,EDE1,1,1
YBL050W,SEC17,1,1
YBL055C,NA,1,1
YBL056W,PTC3,1,1
YBL058W,SHP1,1,1
YBL064C,PRX1,1,1
YBL076C,ILS1,1,1
YBL091C,MAP2,1,1
YBL092W,RPL32,1,1
YBL099W,ATP1,1,1
YBR011C,IPP1,1,1
YBR015C,MNN2,1,1
YBR025C,OLA1,1,1
YBR026C,ETR1,1,1
YBR031W,RPL4A,1,1
YBR035C,PDX3,1,1
YBR039W,ATP3,1,1
YBR049C,REB1,1,1
YBR053C,NA,1,1
YBR056W,NA,1,1
YBR072W,HSP26,1,1
YBR078W,ECM33,1,1
YBR079C,RPG1,1,1
YBR080C,SEC18,1,1
YBR082C,UBC4,1,1
YBR084W,MIS1,1,1
YBR085C-A,YBR085C-A,1,1
YBR086C,IST2,1,1
YBR088C,POL30,1,1
YBR089C-A,NHP6B,1,1
YBR094W,PBY1,1,1
YBR096W,NA,1,1
YBR106W,PHO88,1,1
YBR109C,CMD1,1,1
YBR112C,CYC8,1,1
YBR115C,LYS2,1,1
YBR126C,TPS1,1,1
YBR127C,VMA2,1,1
YBR143C,SUP45,1,1
YBR149W,ARA1,1,1
YBR159W,IFA38,1,1
YBR160W,CDC28,1,1
YBR162C,TOS1,1,1
YBR164C,ARL1,1,1
YBR177C,EHT1,1,1
YBR189W,RPS9B,1,1
YBR191W,RPL21A,1,1
YBR196C,PGI1,1,1
YBR205W,KTR3,1,1
YBR218C,PYC2,1,1
YBR221C,PDB1,1,1
YBR222C,PCS60,1,1
YBR227C,MCX1,1,1
YBR234C,ARC40,1,1
YBR244W,GPX2,1,1
YBR247C,ENP1,1,1
YBR248C,HIS7,1,1
YBR249C,ARO4,1,1
YBR252W,DUT1,1,1
YBR263W,SHM1,1,1
YBR283C,SSH1,1,1
YBR286W,APE3,1,1
YBR288C,APM3,1,1
YCL009C,ILV6,1,1
YCL017C,NFS1,1,1
YCL018W,LEU2,1,1
YCL030C,HIS4,1,1
YCL034W,LSB5,1,1
YCL035C,GRX1,1,1
YCL037C,SRO9,1,1
YCL040W,GLK1,1,1
YCL043C,PDI1,1,1
YCL045C,EMC1,1,1
YCL050C,APA1,1,1
YCL057W,PRD1,1,1
YCR002C,CDC10,1,1
YCR004C,YCP4,1,1
YCR005C,CIT2,1,1
YCR009C,RVS161,1,1
YCR012W,PGK1,1,1
YCR028C-A,RIM1,1,1
YCR030C,SYP1,1,1
YCR031C,RPS14A,1,1
YCR051W,NA,1,1
YCR053W,THR4,1,1
YCR073W-A,SOL2,1,1
YCR077C,PAT1,1,1
YCR084C,TUP1,1,1
YCR088W,ABP1,1,1
YCR093W,CDC39,1,1
YDL007W,RPT2,1,1
YDL014W,NOP1,1,1
YDL019C,OSH2,1,1
YDL022W,GPD1,1,1
YDL029W,ARP2,1,1
YDL040C,NAT1,1,1
YDL047W,SIT4,1,1
YDL051W,LHP1,1,1
YDL052C,SLC1,1,1
YDL053C,PBP4,1,1
YDL055C,PSA1,1,1
YDL058W,USO1,1,1
YDL061C,RPS29B,1,1
YDL066W,IDP1,1,1
YDL072C,YET3,1,1
YDL074C,BRE1,1,1
YDL075W,RPL31A,1,1
YDL078C,MDH3,1,1
YDL081C,RPP1A,1,1
YDL084W,SUB2,1,1
YDL086W,YDL086W,1,1
YDL095W,PMT1,1,1
YDL097C,RPN6,1,1
YDL100C,GET3,1,1
YDL103C,QRI1,1,1
YDL110C,TMA17,1,1
YDL122W,UBP1,1,1
YDL124W,NA,1,1
YDL125C,HNT1,1,1
YDL126C,CDC48,1,1
YDL131W,LYS21,1,1
YDL135C,RDI1,1,1
YDL140C,RPO21,1,1
YDL143W,CCT4,1,1
YDL145C,COP1,1,1
YDL147W,RPN5,1,1
YDL160C,DHH1,1,1
YDL168W,SFA1,1,1
YDL171C,GLT1,1,1
YDL174C,DLD1,1,1
YDL178W,DLD2,1,1
YDL185W,VMA1,1,1
YDL192W,ARF1,1,1
YDL195W,SEC31,1,1
YDL201W,TRM8,1,1
YDL205C,HEM3,1,1
YDL213C,NOP6,1,1
YDL215C,GDH2,1,1
YDL225W,SHS1,1,1
YDL226C,GCS1,1,1
YDL229W,SSB1,1,1
YDL236W,PHO13,1,1
YDR001C,NTH1,1,1
YDR002W,YRB1,1,1
YDR019C,GCV1,1,1
YDR023W,SES1,1,1
YDR032C,PST2,1,1
YDR033W,MRH1,1,1
YDR035W,ARO3,1,1
YDR037W,KRS1,1,1
YDR044W,HEM13,1,1
YDR050C,TPI1,1,1
YDR060W,MAK21,1,1
YDR062W,LCB2,1,1
YDR064W,RPS13,1,1
YDR071C,PAA1,1,1
YDR074W,TPS2,1,1
YDR091C,RLI1,1,1
YDR092W,UBC13,1,1
YDR097C,MSH6,1,1
YDR098C,GRX3,1,1
YDR099W,BMH2,1,1
YDR101C,ARX1,1,1
YDR117C,TMA64,1,1
YDR120C,TRM1,1,1
YDR127W,ARO1,1,1
YDR129C,SAC6,1,1
YDR135C,YCF1,1,1
YDR145W,TAF12,1,1
YDR148C,KGD2,1,1
YDR150W,NUM1,1,1
YDR153C,ENT5,1,1
YDR155C,CPR1,1,1
YDR158W,HOM2,1,1
YDR168W,CDC37,1,1
YDR170C,SEC7,1,1
YDR172W,SUP35,1,1
YDR174W,HMO1,1,1
YDR177W,UBC1,1,1
YDR188W,CCT6,1,1
YDR189W,SLY1,1,1
YDR190C,RVB1,1,1
YDR211W,GCD6,1,1
YDR212W,TCP1,1,1
YDR214W,AHA1,1,1
YDR226W,ADK1,1,1
YDR233C,RTN1,1,1
YDR234W,LYS4,1,1
YDR238C,SEC26,1,1
YDR258C,HSP78,1,1
YDR264C,AKR1,1,1
YDR272W,GLO2,1,1
YDR293C,SSD1,1,1
YDR294C,DPL1,1,1
YDR298C,ATP5,1,1
YDR300C,PRO1,1,1
YDR303C,RSC3,1,1
YDR304C,CPR5,1,1
YDR321W,ASP1,1,1
YDR322C-A,TIM11,1,1
YDR324C,UTP4,1,1
YDR328C,SKP1,1,1
YDR341C,NA,1,1
YDR342C,HXT7,1,1
YDR346C,SVF1,1,1
YDR347W,MRP1,1,1
YDR348C,PAL1,1,1
YDR353W,TRR1,1,1
YDR354W,TRP4,1,1
YDR363W-A,SEM1,1,1
YDR368W,YPR1,1,1
YDR380W,ARO10,1,1
YDR381W,YRA1,1,1
YDR382W,RPP2B,1,1
YDR388W,RVS167,1,1
YDR394W,RPT3,1,1
YDR395W,SXM1,1,1
YDR399W,HPT1,1,1
YDR404C,RPB7,1,1
YDR427W,RPN9,1,1
YDR429C,TIF35,1,1
YDR432W,NPL3,1,1
YDR453C,TSA2,1,1
YDR454C,GUK1,1,1
YDR483W,KRE2,1,1
YDR487C,RIB3,1,1
YDR502C,SAM2,1,1
YDR507C,GIN4,1,1
YDR510W,SMT3,1,1
YDR513W,GRX2,1,1
YDR516C,EMI2,1,1
YDR518W,EUG1,1,1
YDR529C,QCR7,1,1
YDR533C,HSP31,1,1
YDR539W,FDC1,1,1
YEL002C,WBP1,1,1
YEL003W,GIM4,1,1
YEL011W,GLC3,1,1
YEL013W,VAC8,1,1
YEL020W-A,TIM9,1,1
YEL021W,URA3,1,1
YEL022W,GEA2,1,1
YEL026W,SNU13,1,1
YEL031W,SPF1,1,1
YEL034W,HYP2,1,1
YEL036C,ANP1,1,1
YEL037C,RAD23,1,1
YEL038W,UTR4,1,1
YEL047C,FRD1,1,1
YEL051W,VMA8,1,1
YEL058W,PCM1,1,1
YEL060C,PRB1,1,1
YEL071W,DLD3,1,1
YER003C,PMI40,1,1
YER007C-A,TMA20,1,1
YER009W,NTF2,1,1
YER012W,PRE1,1,1
YER021W,RPN3,1,1
YER023W,PRO3,1,1
YER025W,GCD11,1,1
YER026C,CHO1,1,1
YER030W,CHZ1,1,1
YER031C,YPT31,1,1
YER036C,ARB1,1,1
YER042W,MXR1,1,1
YER043C,SAH1,1,1
YER048C,CAJ1,1,1
YER049W,TPA1,1,1
YER052C,HOM3,1,1
YER055C,HIS1,1,1
YER057C,HMF1,1,1
YER062C,GPP2,1,1
YER067W,RGI1,1,1
YER068W,MOT2,1,1
YER069W,"ARG5,6",1,1
YER073W,ALD5,1,1
YER080W,AIM9,1,1
YER083C,GET2,1,1
YER086W,ILV1,1,1
YER089C,PTC2,1,1
YER090W,TRP2,1,1
YER091C,MET6,1,1
YER094C,PUP3,1,1
YER099C,PRS2,1,1
YER110C,KAP123,1,1
YER120W,SCS2,1,1
YER122C,GLO3,1,1
YER125W,RSP5,1,1
YER133W,GLC7,1,1
