orf,gene,ThisStudy_up,ThisStudy_down,Paulo_q_up,Paulo_log_up
YBL015W,ACH1,1,0,1,0
YBR072W,HSP26,1,0,1,0
YDL215C,GDH2,1,0,1,0
YDR148C,KGD2,1,0,1,0
YDR533C,HSP31,1,0,1,0
YHR008C,SOD2,1,0,1,0
YHR087W,RTC3,1,0,1,0
YIL136W,OM45,1,0,1,0
YIL155C,GUT2,1,0,1,0
YJL153C,INO1,1,0,1,0
YLL026W,HSP104,1,0,1,0
YML128C,MSC1,1,0,1,0
YMR031C,EIS1,1,0,1,0
YMR110C,HFD1,1,0,1,0
YNL160W,YGP1,1,0,1,0
YPL004C,LSP1,1,0,1,0
YGL009C,LEU1,1,0,0,1
YBR039W,ATP3,1,0,0,0
YBR077C,SLM4,1,0,0,0
YCL018W,LEU2,1,0,0,0
YDL110C,TMA17,1,0,0,0
YDR019C,GCV1,1,0,0,0
YDR258C,HSP78,1,0,0,0
YDR529C,QCR7,1,0,0,0
YEL011W,GLC3,1,0,0,0
YER042W,MXR1,1,0,0,0
YER067W,RGI1,1,0,0,0
YGL062W,PYC1,1,0,0,0
YGL187C,COX4,1,0,0,0
YGR145W,ENP2,1,0,0,0
YHL021C,AIM17,1,0,0,0
YHR051W,COX6,1,0,0,0
YIL074C,SER33,1,0,0,0
YJL060W,BNA3,1,0,0,0
YJR077C,MIR1,1,0,0,0
YKL016C,ATP7,1,0,0,0
YKL085W,MDH1,1,0,0,0
YKL148C,SDH1,1,0,0,0
YLL041C,SDH2,1,0,0,0
YLR058C,SHM2,1,0,0,0
YLR258W,GSY2,1,0,0,0
YLR303W,MET17,1,0,0,0
YLR438W,CAR2,1,0,0,0
YML120C,NDI1,1,0,0,0
YMR105C,PGM2,1,0,0,0
YMR120C,ADE17,1,0,0,0
YMR145C,NDE1,1,0,0,0
YNL274C,GOR1,1,0,0,0
YNR034W-A,YNR034W-A,1,0,0,0
YOL151W,GRE2,1,0,0,0
YOR065W,CYT1,1,0,0,0
YOR374W,ALD4,1,0,0,0
YPL078C,ATP4,1,0,0,0
YPL111W,CAR1,1,0,0,0
YPR133W-A,TOM5,1,0,0,0
YPR160W,GPH1,1,0,0,0
YPR184W,GDB1,1,0,0,0
YPR191W,QCR2,1,0,0,0
YLR300W,EXG1,0,1,1,0
YAL036C,RBG1,0,1,0,1
YCL037C,SRO9,0,1,0,1
YGR157W,CHO2,0,1,0,1
YGR175C,ERG1,0,1,0,1
YLR100W,ERG27,0,1,0,1
YLR342W,FKS1,0,1,0,1
YNL112W,DBP2,0,1,0,1
YOR099W,KTR1,0,1,0,1
YOR204W,DED1,0,1,0,1
YBR162C,TOS1,0,1,0,0
YBR177C,EHT1,0,1,0,0
YDR483W,KRE2,0,1,0,0
YEL071W,DLD3,0,1,0,0
YFL010C,WWM1,0,1,0,0
YIL053W,GPP1,0,1,0,0
YLR153C,ACS2,0,1,0,0
YLR249W,YEF3,0,1,0,0
YMR038C,CCS1,0,1,0,0
YMR246W,FAA4,0,1,0,0
YNL208W,NA,0,1,0,0
YOR220W,RCN2,0,1,0,0
YPL117C,IDI1,0,1,0,0
YAL032C,NA,0,0,1,0
YAL034C,NA,0,0,1,0
YAL054C,NA,0,0,1,0
YAL056W,NA,0,0,1,0
YAL062W,NA,0,0,1,0
YAR002C-A,ERP1,0,0,1,0
YAR035W,NA,0,0,1,0
YBL008W,NA,0,0,1,0
YBL064C,PRX1,0,0,1,0
YBL075C,NA,0,0,1,0
YBL104C,NA,0,0,1,0
YBR001C,NA,0,0,1,0
YBR006W,NA,0,0,1,0
YBR016W,NA,0,0,1,0
YBR093C,NA,0,0,1,0
YBR117C,NA,0,0,1,0
YBR126C,TPS1,0,0,1,0
YBR140C,NA,0,0,1,0
YBR157C,NA,0,0,1,0
YBR169C,NA,0,0,1,0
YBR170C,NA,0,0,1,0
YBR176W,NA,0,0,1,0
YBR225W,NA,0,0,1,0
YBR241C,NA,0,0,1,0
YBR260C,NA,0,0,1,0
YCL033C,NA,0,0,1,0
YCL044C,NA,0,0,1,0
YCR010C,NA,0,0,1,0
YCR042C,NA,0,0,1,0
YCR079W,NA,0,0,1,0
YDL002C,NA,0,0,1,0
YDL019C,OSH2,0,0,1,0
YDL085W,NA,0,0,1,0
YDL113C,NA,0,0,1,0
YDL174C,DLD1,0,0,1,0
YDL204W,NA,0,0,1,0
YDL218W,NA,0,0,1,0
YDL222C,NA,0,0,1,0
YDL223C,NA,0,0,1,0
YDR032C,PST2,0,0,1,0
YDR055W,NA,0,0,1,0
YDR070C,NA,0,0,1,0
YDR074W,TPS2,0,0,1,0
YDR128W,NA,0,0,1,0
YDR164C,SEC1,0,0,1,0
YDR171W,NA,0,0,1,0
YDR175C,NA,0,0,1,0
YDR204W,NA,0,0,1,0
YDR216W,NA,0,0,1,0
YDR227W,NA,0,0,1,0
YDR237W,NA,0,0,1,0
YDR295C,NA,0,0,1,0
YDR296W,NA,0,0,1,0
YDR316W,NA,0,0,1,0
YDR322W,NA,0,0,1,0
YDR436W,NA,0,0,1,0
YDR466W,NA,0,0,1,0
YDR470C,NA,0,0,1,0
YDR541C,NA,0,0,1,0
YEL020C,NA,0,0,1,0
YEL024W,NA,0,0,1,0
YEL062W,NA,0,0,1,0
YER012W,PRE1,0,0,1,0
YER015W,NA,0,0,1,0
YER020W,NA,0,0,1,0
YER024W,NA,0,0,1,0
YER065C,NA,0,0,1,0
YER132C,NA,0,0,1,0
YFL014W,NA,0,0,1,0
