orf,gene,log2FC_thisStudy,paulo_pvalue,log2FC_Paulo,paulo_category
YEL071W,DLD3,-2.914105932407364,NA,NA,detected_only
YOR374W,ALD4,2.434093763041701,NA,NA,detected_only
YHL021C,AIM17,2.2881171997305643,NA,NA,detected_only
YCL018W,LEU2,2.181482266760577,NA,NA,detected_only
YNL274C,GOR1,2.146083105253753,NA,NA,detected_only
YDL110C,TMA17,2.1449641447241876,NA,NA,detected_only
YER067W,RGI1,1.9851954118561672,NA,NA,detected_only
YBR162C,TOS1,-1.9801782242094688,NA,NA,detected_only
YDR019C,GCV1,1.945591143513547,NA,NA,detected_only
YOR065W,CYT1,1.8324056702156308,NA,NA,detected_only
YER042W,MXR1,1.814933913482401,NA,NA,detected_only
YDR483W,KRE2,-1.8078582535864611,NA,NA,detected_only
YKL016C,ATP7,1.7773139721080278,NA,NA,detected_only
YNR034W-A,YNR034W-A,1.7142726061550468,NA,NA,detected_only
YLR153C,ACS2,-1.6972160535585503,NA,NA,detected_only
YPL078C,ATP4,1.6510548078898852,NA,NA,detected_only
YKL148C,SDH1,1.6492872281031543,NA,NA,detected_only
YLR303W,MET17,1.5930187301964724,NA,NA,detected_only
YLL041C,SDH2,1.5757094677487093,NA,NA,detected_only
YPL117C,IDI1,-1.5682340383925215,NA,NA,detected_only
YGL062W,PYC1,1.5574489192771783,NA,NA,detected_only
YPL111W,CAR1,1.4693895855126173,NA,NA,detected_only
YMR120C,ADE17,1.4438292619807982,NA,NA,detected_only
YPR191W,QCR2,1.4135213478409716,NA,NA,detected_only
YMR246W,FAA4,-1.360530141454486,NA,NA,detected_only
YML120C,NDI1,1.3592317492122858,NA,NA,detected_only
YMR038C,CCS1,-1.358298731342427,NA,NA,detected_only
YPR160W,GPH1,1.3463909123147484,NA,NA,detected_only
YBR039W,ATP3,1.3359154504957078,NA,NA,detected_only
YIL053W,GPP1,-1.2988736848285518,NA,NA,detected_only
YLR058C,SHM2,1.29477341799899,NA,NA,detected_only
YIL074C,SER33,1.2674551449726217,NA,NA,detected_only
YNL208W,NA,-1.257324124613762,NA,NA,detected_only
YOL151W,GRE2,1.2408515841358119,NA,NA,detected_only
YOR220W,RCN2,-1.2045322058351888,NA,NA,detected_only
YFL010C,WWM1,-1.1883194769043646,NA,NA,detected_only
YJR077C,MIR1,1.1665916417349314,NA,NA,detected_only
YLR258W,GSY2,1.164356688807316,NA,NA,detected_only
YMR105C,PGM2,1.1434421711647087,NA,NA,detected_only
YDR529C,QCR7,1.1212677096955252,NA,NA,detected_only
YLR249W,YEF3,-1.0903892240522302,NA,NA,detected_only
YLR438W,CAR2,1.0747457846611759,NA,NA,detected_only
YEL011W,GLC3,1.0738827647880569,NA,NA,detected_only
YMR145C,NDE1,1.0632860473998416,NA,NA,detected_only
YKL085W,MDH1,1.0416352098792947,NA,NA,detected_only
YJL060W,BNA3,1.0411833490878268,NA,NA,detected_only
