Protein IDs,Gene names,comparison,condition,term,estimate,std.error,statistic,p.value,qvalue,df
P37898,AAP1,genotype (per nutrient),C,genotypeWT,0.05995790131279585,0.0764592566232121,0.7841810653256256,0.4421231784720287,0.5115917887885253,NA
P37898,AAP1,genotype (per nutrient),P,genotypeWT,0.0130856588887837,0.2033310142490868,0.06435643345954771,0.94932532930014,0.6740439126337247,NA
P37898,AAP1,genotype (per nutrient),C,samplingTime,0.00227120309235534,0.00313189318224461,0.7251853623971902,0.476738313795428,0.5337802396523036,NA
P37898,AAP1,genotype (per nutrient),P,samplingTime,-0.02086189899729551,0.00832876286521818,-2.5048016536065703,0.02101688614411946,0.0446635683828764,NA
P37898,AAP1,genotype (per nutrient),C,samplingTime:genotypeWT,-0.00243535332781582,0.00442916581423415,-0.549844695357589,0.5885141980506072,0.5922645619502422,NA
P37898,AAP1,genotype (per nutrient),P,samplingTime:genotypeWT,4.918926509067554e-4,0.01177864940178096,0.04176137977520411,0.9671030263639472,0.6748659112874248,NA
P23542,AAT2,genotype (per nutrient),C,genotypeWT,-0.00881673300531015,0.20010939332660388,-0.04405956591413042,0.9652938582327502,0.6748659112874248,NA
P23542,AAT2,genotype (per nutrient),P,genotypeWT,-0.064139594253052,0.1387711843307153,-0.4621967778281437,0.6489287314301311,0.6159988707516434,NA
P23542,AAT2,genotype (per nutrient),C,samplingTime,0.03543953046202375,0.00819680013044269,4.323581141182436,3.301671401588026e-4,0.00106141665229602,NA
P23542,AAT2,genotype (per nutrient),P,samplingTime,-0.01137665813128653,0.00568428919259768,-2.001421417140719,0.05910060836361328,0.10881029299225645,NA
P23542,AAT2,genotype (per nutrient),C,samplingTime:genotypeWT,-0.02828230175988409,0.0115920259125336,-2.43980663719053,0.02413295021830226,0.05045819187504519,NA
P23542,AAT2,genotype (per nutrient),P,samplingTime:genotypeWT,-0.02078442839545147,0.00803879886862245,-2.585514171349474,0.01767157102213979,0.03839138831300133,NA
Q02486,ABF2,genotype (per nutrient),C,genotypeWT,-0.09340596328050546,0.23319338177237736,-0.4005515189606884,0.6929969181833564,0.6307505267849203,NA
Q02486,ABF2,genotype (per nutrient),P,genotypeWT,0.0602620940121666,0.10971103264409005,0.5492801640803152,0.5888942602800082,0.5923900551192978,NA
Q02486,ABF2,genotype (per nutrient),C,samplingTime,0.02912323779879306,0.00955197310008573,3.048923766183102,0.00633672066167486,0.01546376802927688,NA
