Protein IDs,Gene names,C_WT_module,C_WT_module_description,C_rim15_module,C_rim15_module_description,P_WT_module,P_WT_module_description,P_rim15_module,P_rim15_module_description
P04710,AAC1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P37898,AAP1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P23542,AAT2,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P14164,ABF1,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation,NA,NA
Q02486,ABF2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P15891,ABP1,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P31787,ACB1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q00955,ACC1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32316,ACH1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P19414,ACO1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P39533,ACO2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P52910,ACS2,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P60010,ACT1,blue,Downregulated during carbon starvation,unassigned,No coherent co-expression pattern,NA,NA,NA,NA
P27616,ADE1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P80210,ADE12,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
