Protein IDs,comparison,normalized_ratio_mean,normalized_ratio_rep1,normalized_ratio_rep2
sp|O14455|RL36B_YEAST,ProtoWT_H_vs_AuxoWT_H,9.7173,NA,10.315
sp|O14467|MBF1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|O94742|SEM1_YEAST,ProtoWT_H_vs_AuxoWT_H,0.15347,NA,NA
sp|P00127|QCR6_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P00330|ADH1_YEAST;sp|P00331|ADH2_YEAST;sp|P38113|ADH5_YEAST,ProtoWT_H_vs_AuxoWT_H,1.3125,1.3125,64.706
sp|P00358|G3P2_YEAST,ProtoWT_H_vs_AuxoWT_H,0.40721,0.40721,NA
sp|P00359|G3P3_YEAST,ProtoWT_H_vs_AuxoWT_H,19.285,1.6922,88.212
sp|P00360|G3P1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P00445|SODC_YEAST,ProtoWT_H_vs_AuxoWT_H,7.1605,NA,NA
sp|P00447|SODM_YEAST,ProtoWT_H_vs_AuxoWT_H,0.17685,NA,NA
sp|P00498|HIS1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P00549|KPYK1_YEAST;sp|P52489|KPYK2_YEAST,ProtoWT_H_vs_AuxoWT_H,342.97,22.557,235.76
sp|P00560|PGK_YEAST,ProtoWT_H_vs_AuxoWT_H,1.4029,1.4029,305.68
sp|P00729|CBPY_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P00815|HIS2_YEAST,ProtoWT_H_vs_AuxoWT_H,2.0606,NA,2.0606
sp|P00817|IPYR_YEAST,ProtoWT_H_vs_AuxoWT_H,4.4467,4.4878,4.4467
sp|P00830|ATPB_YEAST,ProtoWT_H_vs_AuxoWT_H,0.53541,0.5163,NA
sp|P00890|CISY1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P00899|TRPE_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P00924|ENO1_YEAST,ProtoWT_H_vs_AuxoWT_H,2.8136,NA,NA
sp|P00925|ENO2_YEAST,ProtoWT_H_vs_AuxoWT_H,1.6322,1.4892,452.53
sp|P00927|THDH_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P00931|TRP_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P00937|TRPG_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P00942|TPIS_YEAST,ProtoWT_H_vs_AuxoWT_H,6.3985,2.6081,7.9252
sp|P00950|PMG1_YEAST,ProtoWT_H_vs_AuxoWT_H,9.6111,1.3058,19.926
sp|P00958|SYMC_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P01120|RAS2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P01123|YPT1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P02293|H2B1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P02294|H2B2_YEAST,ProtoWT_H_vs_AuxoWT_H,161.79,NA,16.415
sp|P02309|H4_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P02400|RLA4_YEAST,ProtoWT_H_vs_AuxoWT_H,8.8567,2.862,20.304
