strain,time,bud index,nutrient,replicate
wt,0,0.72,C,1
wt,0,0.4,C,2
wt,0,0.6,C,3
wt,0,0.72,C,4
wt,0,0.53,C,5
wt,0,0.57,C,6
wt,0,0.55,C,7
rim15,0,0.33,C,1
rim15,0,0.83,C,2
rim15,0,0.75,C,3
rim15,0,0.82,C,4
rim15,0,0.42,C,5
rim15,0,0.5,C,6
rim15,0,0.55,C,7
rim15,0,0.38,C,8
rim15,0,0.69,C,9
rim15,0,0.5,C,10
wt,0,0.72,N,1
wt,0,0.4,N,2
wt,0,0.6,N,3
wt,0,0.72,N,4
wt,0,0.53,N,5
wt,0,0.57,N,6
wt,0,0.55,N,7
rim15,0,0.33,N,1
rim15,0,0.83,N,2
rim15,0,0.75,N,3
rim15,0,0.82,N,4
rim15,0,0.42,N,5
rim15,0,0.5,N,6
rim15,0,0.55,N,7
rim15,0,0.38,N,8
rim15,0,0.69,N,9
rim15,0,0.5,N,10
wt,0,0.72,P,1
wt,0,0.4,P,2
wt,0,0.6,P,3
wt,0,0.72,P,4
wt,0,0.53,P,5
wt,0,0.57,P,6
wt,0,0.55,P,7
rim15,0,0.33,P,1
rim15,0,0.83,P,2
rim15,0,0.75,P,3
rim15,0,0.82,P,4
rim15,0,0.42,P,5
rim15,0,0.5,P,6
rim15,0,0.55,P,7
rim15,0,0.38,P,8
rim15,0,0.69,P,9
rim15,0,0.5,P,10
wt,9,0.08,C,1
wt,9,0.11,C,2
wt,9,0,C,3
wt,9,0.1,C,4
wt,9,0.06,C,5
wt,9,0.07,C,6
wt,9,0.1,C,7
wt,9,0.13,N,1
wt,9,0.06,N,2
wt,9,0.07,N,3
wt,9,0.1,N,4
wt,9,0.1,N,5
wt,9,0.1,P,1
wt,9,0.03,P,2
wt,9,0,P,3
wt,9,0.03,P,4
wt,9,0.1,P,5
wt,9,0.08,P,6
wt,9,0.07,P,7
wt,9,0.03,P,8
rim15,9,0.11,C,1
rim15,9,0.19,C,2
rim15,9,0.09,C,3
rim15,9,0.11,C,4
rim15,9,0.3,N,1
rim15,9,0.29,N,2
rim15,9,0.26,N,3
rim15,9,0.17,N,4
rim15,9,0.38,N,5
rim15,9,0.3,N,6
rim15,9,0.27,N,7
rim15,9,0.14,N,8
rim15,9,0.29,N,9
rim15,9,0.33,N,10
rim15,9,0.07,N,11
rim15,9,0.29,N,12
rim15,9,0.12,P,1
rim15,9,0.06,P,2
rim15,9,0.06,P,3
rim15,9,0.05,P,4
rim15,9,0.08,P,5
wt,20,0,C,1
wt,20,0,C,2
wt,20,0.13,C,3
wt,20,0.08,C,4
wt,20,0.07,C,5
wt,20,0,C,6
wt,20,0,C,7
wt,20,0.06,C,8
wt,20,0,C,9
wt,20,0,C,10
wt,20,0.05,N,1
wt,20,0,N,2
wt,20,0,N,3
wt,20,0,N,4
wt,20,0,N,5
wt,20,0,N,6
wt,20,0,P,1
wt,20,0,P,2
wt,20,0,P,3
wt,20,0,P,4
wt,20,0.13,P,5
wt,20,0,P,6
wt,20,0,P,7
wt,20,0,P,8
wt,20,0,P,9
rim15,20,0.06,C,1
rim15,20,0.06,C,2
rim15,20,0.07,C,3
rim15,20,0.06,C,4
rim15,20,0.04,C,5
rim15,20,0.05,N,1
rim15,20,0.04,N,2
rim15,20,0.11,N,3
rim15,20,0.08,N,4
rim15,20,0.13,N,5
rim15,20,0.06,N,6
rim15,20,0.09,N,7
rim15,20,0.04,N,8
rim15,20,0.08,N,9
rim15,20,0,P,1
rim15,20,0,P,2
rim15,20,0.07,P,3
rim15,20,0,P,4
rim15,20,0,P,5
rim15,20,0.06,P,6
rim15,20,0,P,7
wt,46,0.05,C,1
wt,46,0,C,2
wt,46,0,C,3
wt,46,0.03,C,4
wt,46,0,C,5
wt,46,0,C,6
wt,46,0,N,1
wt,46,0,N,2
wt,46,0,N,3
wt,46,0,N,4
wt,46,0,N,5
wt,46,0,N,6
wt,46,0.13,P,1
wt,46,0.07,P,2
wt,46,0,P,3
wt,46,0,P,4
wt,46,0,P,5
rim15,46,0,C,1
rim15,46,0,C,2
rim15,46,0.07,C,3
rim15,46,0.07,C,4
rim15,46,0.13,C,5
rim15,46,0.05,C,6
rim15,46,0.13,N,1
rim15,46,0.08,N,2
rim15,46,0,N,3
rim15,46,0,N,4
rim15,46,0.07,N,5
rim15,46,0.05,N,6
rim15,46,0,P,1
rim15,46,0.08,P,2
rim15,46,0,P,3
rim15,46,0,P,4
rim15,46,0,P,5
