strain,time,nutrient,counts,replicate
rim15,0,C,1.88E+06,1
rim15,0,C,2.00E+06,2
rim15,0,C,2.00E+06,3
WT,0,C,1.87E+06,1
WT,0,C,2.21E+06,2
WT,0,C,1.85E+06,3
rim15,6,C,3.54E+06,1
rim15,6,C,3.98E+06,2
rim15,6,C,4.16E+06,3
WT,6,C,3.96E+06,1
WT,6,C,3.53E+06,2
WT,6,C,4.16E+06,3
rim15,16,C,6.63E+06,1
rim15,16,C,7.57E+06,2
rim15,16,C,7.24E+06,3
WT,16,C,6.04E+06,1
WT,16,C,6.04E+06,2
WT,16,C,6.05E+06,3
rim15,30,C,6.83E+06,1
rim15,30,C,7.26E+06,2
rim15,30,C,7.01E+06,3
WT,30,C,5.79E+06,1
WT,30,C,6.48E+06,2
WT,30,C,6.67E+06,3
rim15,168,C,7.26E+06,1
rim15,168,C,6.78E+06,2
rim15,168,C,6.64E+06,3
WT,168,C,5.61E+06,1
WT,168,C,5.92E+06,2
WT,168,C,5.52E+06,3
rim15,264,C,7.20E+06,1
rim15,264,C,6.70E+06,2
rim15,264,C,6.84E+06,3
WT,264,C,5.50E+06,1
WT,264,C,6.20E+06,2
WT,264,C,6.00E+06,3
rim15,0,N,1.79E+06,1
rim15,0,N,2.19E+06,2
rim15,0,N,1.66E+06,3
WT,0,N,1.66E+06,1
WT,0,N,2.14E+06,2
WT,0,N,9.57E+05,3
rim15,6,N,7.43E+06,1
rim15,6,N,6.16E+06,2
rim15,6,N,3.24E+06,3
WT,6,N,9.73E+06,1
WT,6,N,6.02E+06,2
WT,6,N,3.77E+06,3
rim15,16,N,2.27E+07,1
rim15,16,N,2.02E+07,2
rim15,16,N,1.85E+07,3
WT,16,N,2.98E+07,1
WT,16,N,2.00E+07,2
WT,16,N,1.70E+07,3
rim15,30,N,2.41E+07,1
rim15,30,N,2.35E+07,2
rim15,30,N,2.16E+07,3
WT,30,N,2.64E+07,1
WT,30,N,2.01E+07,2
WT,30,N,1.83E+07,3
rim15,168,N,2.57E+07,1
rim15,168,N,2.51E+07,2
rim15,168,N,2.27E+07,3
WT,168,N,3.13E+07,1
WT,168,N,2.11E+07,2
WT,168,N,1.76E+07,3
rim15,264,N,2.50E+07,1
rim15,264,N,2.48E+07,2
rim15,264,N,2.20E+07,3
WT,264,N,2.84E+07,1
WT,264,N,2.05E+07,2
WT,264,N,1.80E+07,3
rim15,0,P,1.82E+06,1
rim15,0,P,2.73E+06,2
rim15,0,P,2.11E+06,3
WT,0,P,1.53E+06,1
WT,0,P,2.52E+06,2
WT,0,P,2.06E+06,3
rim15,6,P,4.53E+06,1
rim15,6,P,4.63E+06,2
rim15,6,P,4.80E+06,3
WT,6,P,7.24E+06,1
WT,6,P,5.67E+06,2
WT,6,P,5.30E+06,3
rim15,16,P,7.00E+06,1
rim15,16,P,7.30E+06,2
rim15,16,P,6.23E+06,3
WT,16,P,1.06E+07,1
WT,16,P,9.37E+06,2
WT,16,P,8.54E+06,3
rim15,30,P,6.75E+06,1
rim15,30,P,7.72E+06,2
rim15,30,P,7.08E+06,3
WT,30,P,9.93E+06,1
WT,30,P,1.03E+07,2
WT,30,P,9.72E+06,3
rim15,168,P,7.28E+06,1
rim15,168,P,7.90E+06,2
rim15,168,P,6.20E+06,3
WT,168,P,1.32E+07,1
WT,168,P,1.17E+07,2
WT,168,P,8.70E+06,3
rim15,264,P,7.30E+06,1
rim15,264,P,8.00E+06,2
rim15,264,P,7.10E+06,3
WT,264,P,1.20E+07,1
WT,264,P,1.10E+07,2
WT,264,P,8.50E+06,3
