Media,term,df,sumsq,meansq,statistic,p.value,table,estimate,std.error,conf.low,conf.high
C,time_f,2,1043.5630791199699,521.7815395599849,49.24103167778014,1.6418626268550504e-6,anova,NA,NA,NA,NA
C,genotype,1,503.5345278350165,503.5345278350165,47.51904342359296,1.6665023311751378e-5,anova,NA,NA,NA,NA
C,time_f:genotype,2,521.982866189919,260.9914330949595,24.630015533887452,5.6496845536885004e-5,anova,NA,NA,NA,NA
C,Residuals,12,127.15774347890535,10.596478623242112,NA,NA,anova,NA,NA,NA,NA
C,(Intercept),NA,NA,NA,25.48651284496123,8.098010753367614e-12,lm_coefs,47.89945517590387,1.8794040388061073,43.80458554402472,51.994324807783016
C,time_f16,NA,NA,NA,11.111465215253528,1.134000992441943e-7,lm_coefs,29.53292650872168,2.657878680858367,23.74190633916846,35.3239466782749
C,time_f30,NA,NA,NA,9.341951084825206,7.434195028587569e-7,lm_coefs,24.829772625978606,2.6578786808583668,19.03875245642539,30.620792795531823
C,genotyperim15Δ,NA,NA,NA,1.5791935681528337,0.14027600331453768,lm_coefs,4.197304917742072,2.657878680858367,-1.5937152518111475,9.98832508729529
C,time_f16:genotyperim15Δ,NA,NA,NA,-6.748461939262675,2.0484262476625188e-5,lm_coefs,-25.366173248759125,3.7588080776122137,-33.55591251251742,-17.176433985000823
C,time_f30:genotyperim15Δ,NA,NA,NA,-5.0441768943766485,2.8729520839120937e-4,lm_coefs,-18.960092855487833,3.758808077612213,-27.149832119246135,-10.770353591729531
N,time_f,2,8728.138943589465,4364.069471794733,1298.1504252500195,9.482904531851547e-15,anova,NA,NA,NA,NA
N,genotype,1,375.227871240087,375.227871240087,111.61651384428046,1.9716616524129255e-7,anova,NA,NA,NA,NA
N,time_f:genotype,2,124.27629582474702,62.13814791237351,18.483817376885796,2.1658716341986148e-4,anova,NA,NA,NA,NA
N,Residuals,12,40.34111351267379,3.3617594593894826,NA,NA,anova,NA,NA,NA,NA
N,(Intercept),NA,NA,NA,44.45734335517445,1.0925231525798763e-14,lm_coefs,47.0615468074331,1.0585775769697572,44.75510440153335,49.367989213332855
N,time_f16,NA,NA,NA,33.2700403405704,3.4487986617330893e-13,lm_coefs,49.80707246267477,1.4970547661746794,46.545270331418905,53.06887459393063
N,time_f30,NA,NA,NA,34.72087737757123,2.0765576953040629e-13,lm_coefs,51.979054963859596,1.497054766174679,48.717252832603734,55.24085709511546
N,genotyperim15Δ,NA,NA,NA,-2.1166521813979893,0.05586676426310276,lm_coefs,-3.168744236495892,1.4970547661746794,-6.430546367751756,0.09305789475997184
N,time_f16:genotyperim15Δ,NA,NA,NA,-6.039212036650382,5.854342463421538e-5,lm_coefs,-12.785948889127905,2.117155153939514,-17.398833700927412,-8.173064077328398
N,time_f30:genotyperim15Δ,NA,NA,NA,-2.4099630509979697,0.032914983839754525,lm_coefs,-5.102265694224146,2.1171551539395135,-9.715150506023653,-0.48938088242463884
P,time_f,2,1623.9267640883877,811.9633820441938,256.51144077856975,1.425666972800667e-10,anova,NA,NA,NA,NA
P,genotype,1,142.73835726587703,142.73835726587703,45.09319322314403,2.148754526147595e-5,anova,NA,NA,NA,NA
P,time_f:genotype,2,1.1705684366189089,0.5852842183094544,0.18490008468798863,0.833511072798835,anova,NA,NA,NA,NA
P,Residuals,12,37.984896716327484,3.165408059693957,NA,NA,anova,NA,NA,NA,NA
P,(Intercept),NA,NA,NA,75.44837797260553,1.956614196696582e-17,lm_coefs,77.50043355908664,1.027198140524985,75.26236107190049,79.7385060462728
P,time_f16,NA,NA,NA,13.569992079415167,1.215197999199192e-8,lm_coefs,19.71282273311512,1.452677541574858,16.547710268162373,22.87793519806787
P,time_f30,NA,NA,NA,14.024145353831651,8.366453279122624e-9,lm_coefs,20.372560995292623,1.4526775415748576,17.207448530339875,23.537673460245372
P,genotyperim15Δ,NA,NA,NA,-3.9466236035777778,0.0019395731721802833,lm_coefs,-5.733171473966673,1.4526775415748578,-8.898283938919421,-2.5680590090139237
P,time_f16:genotyperim15Δ,NA,NA,NA,-0.2271953645467298,0.8240963850880847,lm_coefs,-0.46674931199659386,2.0543962810499696,-4.942894286368909,4.009395662375721
P,time_f30:genotyperim15Δ,NA,NA,NA,0.3749070022265299,0.7142716010068235,lm_coefs,0.7702075511137755,2.054396281049969,-3.7059374232585385,5.246352525486089
