Strain,Media,Time,Bio_rep,pct_1n
DGY3,NA,NA,1,0.6461110656743273
DGY3,NA,NA,2,0.7857517024620221
DGY3,NA,NA,3,0.30658127810328384
DGY1,NA,NA,1,81.29741226515421
DGY1,NA,NA,2,70.78531445505433
DGY1,NA,NA,3,76.03907473965533
WT,C,6,1,53.48413234301148
WT,P,6,1,76.94310152473038
WT,N,6,1,45.56194717634688
WT,C,6,2,43.65037395180177
WT,P,6,2,77.35933218632512
WT,N,6,2,48.36458787614479
WT,C,6,3,46.56385923289838
WT,P,6,3,78.19886696620433
WT,N,6,3,47.258105369807495
RIM15Δ0,C,6,1,52.882112309408704
RIM15Δ0,P,6,1,68.53032119644097
RIM15Δ0,N,6,1,43.32490350059896
RIM15Δ0,C,6,2,48.20687972676262
RIM15Δ0,P,6,2,70.46077369192531
RIM15Δ0,N,6,2,44.34425628619603
RIM15Δ0,C,6,3,55.20128824476651
RIM15Δ0,P,6,3,76.3106913669936
RIM15Δ0,N,6,3,44.00924792601659
WT,C,16,1,80.32149338864403
WT,P,16,1,96.85763888888889
WT,N,16,1,96.95274253172144
WT,C,16,2,75.95206391478028
WT,P,16,2,96.98887938408896
WT,N,16,2,96.70023569745018
WT,C,16,3,76.02358775045232
WT,P,16,3,97.79325060362738
WT,N,16,3,96.95287958115183
RIM15Δ0,C,16,1,58.69904361391847
RIM15Δ0,P,16,1,90.34035125995419
RIM15Δ0,N,16,1,82.40094096890391
RIM15Δ0,C,16,2,53.115181239941755
RIM15Δ0,P,16,2,90.50479444505676
RIM15Δ0,N,16,2,79.75098296199214
RIM15Δ0,C,16,3,56.976315206965246
RIM15Δ0,P,16,3,92.1948608137045
RIM15Δ0,N,16,3,80.58985450255604
WT,C,30,1,69.43093704823235
WT,P,30,1,97.54031156053567
WT,N,30,1,98.41900574907
WT,C,30,2,73.73304325569491
WT,P,30,2,97.98631366389948
WT,N,30,2,99.41635715909952
WT,C,30,3,75.02370310172016
WT,P,30,3,98.09235843870259
WT,N,30,3,99.28644240570847
RIM15Δ0,C,30,1,59.276412941334414
RIM15Δ0,P,30,1,92.15751158173396
RIM15Δ0,N,30,1,94.31688868063458
RIM15Δ0,C,30,2,56.27592228771011
RIM15Δ0,P,30,2,92.69581664441478
RIM15Δ0,N,30,2,86.48181352459017
RIM15Δ0,C,30,3,58.34698436336559
RIM15Δ0,P,30,3,93.87676366843033
RIM15Δ0,N,30,3,91.51007331649313
WT,C,46,1,74.75644509245146
WT,C,46,2,77.51883539777806
WT,C,46,3,78.31664375940834
RIM15Δ0,C,46,1,67.9917623564653
RIM15Δ0,C,46,2,62.44
RIM15Δ0,C,46,3,67.54922831293241
WT,N,46,1,99.70992071166118
WT,N,46,2,99.51830443159922
WT,N,46,3,99.49329955330354
RIM15Δ0,N,46,1,93.94612283059662
RIM15Δ0,N,46,2,92.93193717277487
RIM15Δ0,N,46,3,92.47616118117502
WT,P,46,1,97.45013734623194
WT,P,46,2,98.13307216747262
WT,P,46,3,98.56955537012755
RIM15Δ0,P,46,1,93.74120131393711
RIM15Δ0,P,46,2,95.00059024908512
RIM15Δ0,P,46,3,94.16789396170839
WT,Control,0,1,41.409929735155586
WT,Control,0,2,46.13237924865832
WT,Control,0,3,44.752786296656446
RIM15Δ0,Control,0,1,43.34285714285714
RIM15Δ0,Control,0,2,43.903303558769316
RIM15Δ0,Control,0,3,43.828980623420385
