orf,gene,ThisStudy,Li2019,Dokladal2021,Baro2018,Plank_Cdc55AID,n_published
YHR132W-A,IGO2,1,1,1,0,1,3
YKL204W,EAP1,1,0,1,1,1,3
YLR335W,NUP2,1,0,0,1,1,2
YML017W,PSP2,1,0,1,1,0,2
YNL156C,NSG2,1,0,1,1,0,2
YPL237W,SUI3,1,1,0,1,0,2
YPR041W,TIF5,1,1,0,1,0,2
YBL101C,ECM21,1,0,0,1,0,1
YBR130C,SHE3,1,0,0,0,1,1
YBR156C,SLI15,1,0,0,1,0,1
YDR168W,CDC37,1,0,0,1,0,1
YEL043W,Uncharacterized protein YEL043W,1,0,0,1,0,1
YGR162W,TIF4631,1,0,0,0,1,1
YIR006C,PAN1,1,0,0,1,0,1
YJL168C,SET2,1,0,0,1,0,1
YKL054C,DEF1,1,0,0,0,1,1
YKR093W,PTR2,1,0,0,1,0,1
YLR257W,YLR257W,1,0,0,1,0,1
YBR278W,DPB3,1,0,0,0,0,0
YDR039C,ENA2;ENA1,1,0,0,0,0,0
YDR097C,MSH6,1,0,0,0,0,0
YDR171W,HSP42,1,0,0,0,0,0
YDR372C,VPS74,1,0,0,0,0,0
YDR422C,SIP1,1,0,0,0,0,0
YFL045C,SEC53,1,0,0,0,0,0
YLR267W,BOP2,1,0,0,0,0,0
YOL138C,RTC1,1,0,0,0,0,0
YPL110C,GDE1,1,0,0,0,0,0
YBL047C,EDE1,0,1,0,1,1,3
YBL085W,BOI1,0,0,1,1,1,3
YBL105C,PKC1,0,1,0,1,1,3
YBR059C,AKL1,0,1,1,1,0,3
YBR245C,ISW1,0,1,1,1,0,3
YDL226C,GCS1,0,1,1,1,0,3
YDR096W,GIS1,0,0,1,1,1,3
YER169W,RPH1,0,0,1,1,1,3
YGL049C,TIF4632,0,0,1,1,1,3
YGR186W,TFG1,0,1,0,1,1,3
YHR158C,KEL1,0,1,0,1,1,3
YIL038C,NOT3,0,0,1,1,1,3
YLL021W,SPA2,0,0,1,1,1,3
YMR261C,TPS3,0,1,0,1,1,3
YNL157W,IGO1,0,1,1,1,0,3
YOL051W,GAL11,0,0,1,1,1,3
YOL061W,PRS5,0,0,1,1,1,3
YPL085W,SEC16,0,1,0,1,1,3
YPL105C,SYH1,0,1,1,1,0,3
YAL011W,SWC3,0,0,1,1,0,2
YAL019W,FUN30,0,0,1,1,0,2
YAR002W,NUP60,0,0,0,1,1,2
YBL035C,POL12,0,1,0,1,0,2
YBL058W,SHP1,0,1,0,1,0,2
YBR069C,TAT1,0,0,0,1,1,2
YBR079C,RPG1,0,1,0,1,0,2
YBR273C,UBX7,0,0,1,1,0,2
YCL014W,BUD3,0,0,0,1,1,2
YCL024W,KCC4,0,0,0,1,1,2
YCL050C,APA1,0,1,0,1,0,2
YCR030C,SYP1,0,0,0,1,1,2
YCR033W,SNT1,0,0,0,1,1,2
YCR088W,ABP1,0,1,0,1,0,2
YDL156W,CMR1,0,1,1,0,0,2
YDL195W,SEC31,0,0,0,1,1,2
YDR011W,SNQ2,0,1,0,1,0,2
YDR093W,DNF2,0,0,0,1,1,2
YDR119W,VBA4,0,0,0,1,1,2
YDR122W,KIN1,0,0,0,1,1,2
YDR169C,STB3,0,0,1,1,0,2
YDR227W,NA,0,0,0,1,1,2
YDR239C,NA,0,0,0,1,1,2
YDR251W,PAM1,0,0,0,1,1,2
YDR266C,HEL2,0,0,1,1,0,2
YDR326C,YSP2,0,0,0,1,1,2
YDR362C,TFC6,0,0,0,1,1,2
YDR409W,SIZ1,0,0,1,0,1,2
YDR432W,NPL3,0,0,0,1,1,2
YDR443C,SSN2,0,1,0,1,0,2
YDR490C,PKH1,0,0,0,1,1,2
YDR507C,GIN4,0,0,0,1,1,2
YDR515W,SLF1,0,1,0,1,0,2
YER079W,YER079W,0,0,1,1,0,2
YER088C,DOT6,0,0,1,0,1,2
YER114C,BOI2,0,0,0,1,1,2
YER120W,SCS2,0,0,1,1,0,2
YER123W,NA,0,0,0,1,1,2
YER164W,CHD1,0,0,1,1,0,2
YER166W,DNF1,0,0,0,1,1,2
YFL007W,BLM10,0,0,0,1,1,2
YFL013C,IES1,0,0,0,1,1,2
YFL033C,RIM15,0,0,0,1,1,2
YGL023C,PIB2,0,0,0,1,1,2
YGL035C,MIG1,0,0,0,1,1,2
YGL076C,RPL7A,0,1,0,1,0,2
YGR054W,YGR054W,0,1,0,1,0,2
YGR056W,RSC1,0,0,1,1,0,2
YGR178C,NA,0,0,0,1,1,2
YGR196C,FYV8,0,0,0,1,1,2
YGR267C,FOL2,0,0,1,1,0,2
YHL007C,STE20,0,0,0,1,1,2
YHR082C,KSP1,0,0,1,0,1,2
YIL033C,BCY1,0,1,0,1,0,2
YIR023W,NA,0,0,0,1,1,2
YJL005W,CYR1,0,0,0,1,1,2
YJL076W,NET1,0,0,0,1,1,2
YJL201W,ECM25,0,0,0,1,1,2
YJR001W,NA,0,0,0,1,1,2
YJR033C,RAV1,0,0,0,1,1,2
YJR059W,PTK2,0,0,1,1,0,2
YKL060C,FBA1,0,0,0,1,1,2
YKL062W,MSN4,0,0,1,1,0,2
