Protein IDs,Protein names,Gene names,Fasta headers,nutrient,time,pvalue,qvalue,log2FC
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,C,T00,0.4826672121156027,0.6409214946717853,0.052264999999999895
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,C,T06,0.1228555726780818,0.30931114830458833,-0.350935
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,C,T16,0.028911081986599023,0.15389838094946887,-0.5967766666666667
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,C,T30,0.0029346484126498242,0.061966570599248025,-0.9865933333333332
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,P,T00,0.2221561783902561,0.4091995261534808,0.09430665317603837
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,P,T06,0.6226364887939935,0.7512514108532459,-0.04319275078769946
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,P,T16,0.3609524688265792,0.539049290843467,-0.0870440994944196
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,P,T30,0.6199774532388578,0.7493617884308428,-0.03326784302160024
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,C,T00,0.31685125435174805,0.49920981699589856,0.1758033333333333
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,P,T00,0.010693696913615843,0.09854776260123028,0.3514392191370096
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,P,T06,0.5264276443226725,0.6770119397666985,-0.06028078875171461
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,C,T00,0.5790461269931251,0.7195269918194304,-0.03461000000000003
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,C,T06,0.18793000083524825,0.37442914511456105,-0.22475500000000004
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,C,T16,0.02112766329082425,0.13151701339299973,-0.3042383333333333
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,C,T30,0.017173200992121055,0.12078707338816784,-0.39465666666666666
