Protein IDs,Protein names,Gene names,Fasta headers,genotype,samplingTime,data,pvalue,qvalue,meanDF,log2FC
D6VTK4,Pheromone alpha factor receptor,STE2,sp|D6VTK4|STE2_YEAST Pheromone alpha factor receptor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE2 PE=1 SV=2,rim15KO,T30,intensity,0.12312522136624941,0.4916587236593186,Inf,Inf
D6VTK4,Pheromone alpha factor receptor,STE2,sp|D6VTK4|STE2_YEAST Pheromone alpha factor receptor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE2 PE=1 SV=2,rim15KO,T30,normed_intensity,0.11900858183432637,0.486356775768467,Inf,Inf
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T00,intensity,1,1,1,0
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T00,normed_intensity,1,1,1,0
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T00,normed_ratio,0.893320500350333,1,1.0128514676104061,0.01842262166771894
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T00,ratio,0.8130119051036491,1,1.0284250497257548,0.040436655963895105
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T06,intensity,0.6691741302853282,1,0.8536283825995462,-0.22831994923712937
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T06,normed_intensity,0.8668929935437069,1,1.052558607454822,0.07390056614715901
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T06,normed_ratio,0.31917464574720283,0.7720688514764645,1.2331081379692348,0.30229932307494395
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T06,ratio,0.9273438487886304,1,1.0230574501362486,0.03288716238476509
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T16,intensity,0.009783151566777384,0.12236177231347496,0.626140516778695,-0.6754416356355033
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T16,normed_intensity,0.8448160975289267,1,1.0520517215182432,0.0732056329036305
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T16,normed_ratio,0.01551100247765397,0.15661463917642793,1.565602098863536,0.646717595171622
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T16,ratio,0.2978087532038508,0.7675804538620536,1.1846312483888355,0.24443804738349859
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T30,intensity,0.7303659892306726,1,1.1593037712391214,0.21325864385794463
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T30,normed_intensity,0.2171700765520605,0.6568077123929619,1.6495997431472766,0.7221160131822749
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T30,normed_ratio,0.0462584531219575,0.28799004827042635,1.7103010218171775,0.7742502692413491
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T30,ratio,0.05118680683811545,0.30597136443731654,1.4637872786253339,0.5497059126585545
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T00,intensity,1,1,1,0
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T00,normed_intensity,1,1,1,0
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T00,normed_ratio,0.8716310113864704,1,0.987448584780377,-0.01822246409100007
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T00,ratio,0.40344070708108637,0.79969258681127,0.9764455173561974,-0.03438854645666518
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T06,intensity,0.3844075399977522,0.7812268865672932,1.5520464906567808,0.6341717732695162
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T06,normed_intensity,0.3834472398371278,0.7807541533456336,1.3480427621132423,0.43086626188342564
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T06,normed_ratio,0.5094111796662729,0.8980367965097541,1.0688073394495412,0.09600181987735378
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T06,ratio,0.8436696441180092,1,1.0297209178337812,0.04225338108408847
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T16,intensity,0.6291028104699339,0.9930355190044218,1.2760289719787723,0.3516610855726816
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T16,normed_intensity,0.28323487468752,0.7508857356005338,1.5949549372220004,0.6735156636360755
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T16,normed_ratio,0.15339734814343514,0.543981036282069,1.3507933473523228,0.4338069792126563
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T16,ratio,0.8312623913051027,1,0.9433481690853864,-0.08413775865593029
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T30,intensity,0.8744177793056335,1,0.9491776074416084,-0.075250029347085
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T30,normed_intensity,0.7256006458626328,1,1.1358210591998923,0.18373556605800784
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T30,normed_ratio,0.44290340803827255,0.8372796529394467,0.9732482513191804,-0.039120247470378344
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T30,ratio,0.24693671931370836,0.7026834831458308,0.843423940778269,-0.24567012146586129
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T00,intensity,1,1,1,0
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T00,normed_intensity,1,1,1,0
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T00,normed_ratio,0.6330470558061192,0.9961165552521207,1.0839397109535434,0.11628451579954394
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T00,ratio,0.6578486434100446,1,1.098283285611262,0.13525022377268112
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T06,intensity,0.029430499508616266,0.22213019867217515,0.33623083018692024,-1.5724760784675964
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T06,normed_intensity,0.019496042230781822,0.17703827931962554,0.3815813639083535,-1.3899373817555158
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T06,normed_ratio,0.358732493143882,0.7720688514764645,0.7974483096016685,-0.326537088107911
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T06,ratio,0.11733680981032768,0.48566042583307795,0.6011327647891739,-0.7342444384767796
