nutrient,Gene names,Protein IDs,data,term,estimate,std.error,statistic,p.value,qvalue
C,AAC1,P04710,intensity,(Intercept),28.10315927752363,0.35269741346417866,79.68065033847462,1.6451397024129005e-26,1.0359331608027745e-25
C,AAC1,P04710,intensity,samplingTime,0.022790645705815748,0.020431212589243245,1.1154817956235603,0.27786830640155324,0.3768244898052041
C,AAC1,P04710,intensity,genotypeWT,0.05258346134221817,0.49878946553495235,0.1054221569932764,0.9170910027311374,0.6719429961931491
C,AAC1,P04710,intensity,samplingTime:genotypeWT,-0.010584396282903174,0.0288940979394357,-0.3663168964502336,0.7179751532415295,0.6381016713031332
C,AAC1,P04710,normed_intensity,(Intercept),27.739556388662958,0.44477154200519936,62.368100853760744,2.1666440920311192e-24,1.134316894135381e-23
C,AAC1,P04710,normed_intensity,samplingTime,0.08981119475356956,0.025764923646871864,3.4857931653321086,0.0023305127454847064,0.00629517808018434
C,AAC1,P04710,normed_intensity,genotypeWT,-0.14214048367725293,0.6290019468613475,-0.225977811971042,0.823512020333471,0.6599728429683437
C,AAC1,P04710,normed_intensity,samplingTime:genotypeWT,-0.008580910712078808,0.03643710445491344,-0.23549924837459738,0.8162159065934239,0.6583318206091439
C,AAP1,P37898,intensity,(Intercept),28.728515554313145,0.27174943100569393,105.71692992325418,5.834393967407689e-29,5.48846946914802e-28
C,AAP1,P37898,intensity,samplingTime,-0.06613054810091361,0.015742021868972743,-4.200892912698578,4.3979906395969946e-4,0.0013800097918434731
C,AAP1,P37898,intensity,genotypeWT,0.24968703370633674,0.3843117308954239,0.6496992249614149,0.5232792170684455,0.5607167732845929
C,AAP1,P37898,intensity,samplingTime:genotypeWT,1.3248159562903619e-4,0.0222625808262751,0.005950864217533873,0.9953108839059142,0.6761043256556276
C,AAP1,P37898,normed_intensity,(Intercept),28.364912665452472,0.10507175408904915,269.95754388389656,4.258451507837771e-37,2.469677745519179e-35
C,AAP1,P37898,normed_intensity,samplingTime,8.900009468400053e-4,0.0060866432895915834,0.1462219657856317,0.8852099554519562,0.6691106994649452
C,AAP1,P37898,normed_intensity,genotypeWT,0.054963088686860395,0.14859389965506398,0.36988792147220084,0.7153538574714908,0.6373852064738962
C,AAP1,P37898,normed_intensity,samplingTime:genotypeWT,0.0021359671664536407,0.008607813489467604,0.2481428261738221,0.8065539044363909,0.6566800509135319
C,AAP1,P37898,normed_ratio,(Intercept),-0.1806819360592578,0.054064858842755734,-3.3419477998594234,0.0032477958899920223,0.008450204933017423
C,AAP1,P37898,normed_ratio,samplingTime,0.0022712030923553476,0.003131893182244611,0.7251853623971902,0.47673831379542797,0.5337802396523036
C,AAP1,P37898,normed_ratio,genotypeWT,0.05995790131279585,0.0764592566232121,0.7841810653256256,0.44212317847202875,0.5115917887885253
C,AAP1,P37898,normed_ratio,samplingTime:genotypeWT,-0.002435353327815828,0.004429165814234158,-0.549844695357589,0.5885141980506072,0.5922645619502422
C,AAP1,P37898,ratio,(Intercept),-0.4366047059708262,0.12505064245443429,-3.4914231338708666,0.0023003447488844026,0.006224560287305244
