genotype,Gene names,Protein IDs,data,term,estimate,std.error,statistic,p.value,qvalue
rim15KO,AAC1,P04710,intensity,(Intercept),28.10315927752363,0.34151113970189145,82.29060786144535,8.651024233754938e-27,4.8262066306888084e-26
rim15KO,AAC1,P04710,intensity,samplingTime,0.02279064570581584,0.019783209148917544,1.1520196513245098,0.26289823613197705,0.2641951455000695
rim15KO,AAC1,P04710,intensity,nutrientP,-0.26060080992744766,0.4829696854679076,-0.5395800559924875,0.5954436890391557,0.44952881849979814
rim15KO,AAC1,P04710,intensity,samplingTime:nutrientP,-0.023727309622393646,0.027977682685662683,-0.8480798745549014,0.40642925811204733,0.3564542627696895
rim15KO,AAC1,P04710,normed_intensity,(Intercept),27.739556388662958,0.4288907325460653,64.67744412193278,1.0506754517561544e-24,4.763962121776413e-24
rim15KO,AAC1,P04710,normed_intensity,samplingTime,0.08981119475356975,0.02484497305533801,3.614863842014655,0.0017276390552345945,0.0037842974982192205
rim15KO,AAC1,P04710,normed_intensity,nutrientP,-0.4207577253301452,0.6065430907427773,-0.6936979940120693,0.4958502964186089,0.4047088747307605
rim15KO,AAC1,P04710,normed_intensity,samplingTime:nutrientP,-0.040541761561283696,0.03513609785165312,-1.1538492900507518,0.26216465418721446,0.2636859191051287
rim15KO,AAP1,P37898,intensity,(Intercept),28.728515554313145,0.3196424444955371,89.87703619790787,1.4896095755914278e-27,9.371119138391153e-27
rim15KO,AAP1,P37898,intensity,samplingTime,-0.06613054810091358,0.018516389649387052,-3.571460168699933,0.0019108595842191043,0.0041374737436083164
rim15KO,AAP1,P37898,intensity,nutrientP,-0.13740489559441899,0.4520426801156778,-0.3039644299942144,0.7642948372532739,0.5135494525478799
rim15KO,AAP1,P37898,intensity,samplingTime:nutrientP,-0.03119295581400493,0.026186129368347962,-1.1912014706422738,0.24751992157005798,0.2529606232337391
rim15KO,AAP1,P37898,normed_intensity,(Intercept),28.364912665452465,0.15959770330555262,177.7275742568008,1.8137537504385844e-33,3.833130920712987e-32
rim15KO,AAP1,P37898,normed_intensity,samplingTime,8.90000946840238e-4,0.009245246720024195,0.09626578649465277,0.9242675791629295,0.5585519052277933
rim15KO,AAP1,P37898,normed_intensity,nutrientP,-0.29756181099711637,0.22570523653830982,-1.31836467580853,0.2022813017906563,0.2177176601875575
rim15KO,AAP1,P37898,normed_intensity,samplingTime:nutrientP,-0.04800740775289496,0.013074753298943587,-3.6717639450049018,0.0015135091074374965,0.00337169559898139
rim15KO,AAP1,P37898,normed_ratio,(Intercept),-0.18068193605925795,0.09500766127105731,-1.901761748915927,0.0717056986506613,0.09591177183625989
rim15KO,AAP1,P37898,normed_ratio,samplingTime,0.0022712030923553585,0.005503646045969464,0.412672449024706,0.6842368892676398,0.4849773878852497
rim15KO,AAP1,P37898,normed_ratio,nutrientP,-0.2500067272127973,0.13436112309887827,-1.8607073344334417,0.0775532335879977,0.10247087233024639
rim15KO,AAP1,P37898,normed_ratio,samplingTime:nutrientP,-0.023133102089650873,0.007783330880711073,-2.972133967345542,0.007533429906591019,0.013852140488156604
rim15KO,AAP1,P37898,ratio,(Intercept),-0.4366047059708258,0.11452024384941001,-3.8124674843073616,0.0010903366474655607,0.0025119566461372835
rim15KO,AAP1,P37898,ratio,samplingTime,-0.027036420042973672,0.006633979605571761,-4.07544515516241,5.897360374099676e-4,0.0014485001987844573
rim15KO,AAP1,P37898,ratio,nutrientP,-0.04353893335346891,0.16195608201810963,-0.26883172778037734,0.7908128183214761,0.5222922320275534
rim15KO,AAP1,P37898,ratio,samplingTime:nutrientP,-0.022910315554918164,0.009381863930706098,-2.4419790911627395,0.02402217593284469,0.038065613186287976
rim15KO,AAT2,P23542,intensity,(Intercept),30.56555064541436,0.29351906521962173,104.13480508512826,7.88391090483159e-29,6.369013878964523e-28
rim15KO,AAT2,P23542,intensity,samplingTime,-0.03357851368017679,0.017003102919287836,-1.9748462289248556,0.0622528450639116,0.08535953219505192
rim15KO,AAT2,P23542,intensity,nutrientP,0.30313732089166545,0.415098642848662,0.7302777932766796,0.4736885941510862,0.3933305299166056
rim15KO,AAT2,P23542,intensity,samplingTime:nutrientP,-0.021941230578342134,0.024046018750882418,-0.912468330231879,0.3723907305389401,0.3361400043602146
rim15KO,AAT2,P23542,normed_intensity,(Intercept),30.201947756553672,0.1852356824613822,163.04605762364469,1.0161899557249822e-32,1.8523905465983073e-31
rim15KO,AAT2,P23542,normed_intensity,samplingTime,0.033442035367577075,0.010730414976140546,3.1165649643500846,0.005436654962709899,0.010404678165922287
rim15KO,AAT2,P23542,normed_intensity,nutrientP,0.14298040548896754,0.2619628143723227,0.5458042044309092,0.5912370814912079,0.4476700283659527
rim15KO,AAT2,P23542,normed_intensity,samplingTime:nutrientP,-0.03875568251723213,0.015175098389149327,-2.553899917047237,0.018917346328264417,0.031021308169834436
rim15KO,AAT2,P23542,normed_ratio,(Intercept),-0.039954005457299366,0.15175286092545562,-0.2632833754411105,0.7950255708875793,0.5235521322648325
rim15KO,AAT2,P23542,normed_ratio,samplingTime,0.035439530462023756,0.00879080720252786,4.031430748684019,6.536722002029042e-4,0.0015895351557973648
rim15KO,AAT2,P23542,normed_ratio,nutrientP,0.15868707833202658,0.2146109540496974,0.7394174217932951,0.4682441733124256,0.3906482948977636
rim15KO,AAT2,P23542,normed_ratio,samplingTime:nutrientP,-0.04681618859331027,0.012432078770021985,-3.7657570756549736,0.001215864679716787,0.0027739852293272964
rim15KO,AAT2,P23542,ratio,(Intercept),-0.278399043935141,0.17997005993563006,-1.5469186598855167,0.13756101885833563,0.16224987702378232
rim15KO,AAT2,P23542,ratio,samplingTime,6.117614393224979e-4,0.0104253856531816,0.05867998169792421,0.9537893600582864,0.564777163093484
rim15KO,AAT2,P23542,ratio,nutrientP,0.35013719758349676,0.2545160995820668,1.3756976401824736,0.18412775581121166,0.20296577344803873
rim15KO,AAT2,P23542,ratio,samplingTime:nutrientP,-0.03624975454434142,0.014743721783699303,-2.4586569847254744,0.023187427908376357,0.03692797656373688
rim15KO,ABF1,P14164,intensity,(Intercept),25.395889312359028,0.36126549659590734,70.29702407690912,1.9990131217627668e-25,9.624877993672583e-25
rim15KO,ABF1,P14164,intensity,samplingTime,-0.0574856321311135,0.020927548318579233,-2.7468880375289073,0.012431147646700362,0.021530324962643455
rim15KO,ABF1,P14164,intensity,nutrientP,0.6155136262985648,0.5109065649033834,1.2047479296238117,0.24236373044029336,0.24908240045249894
rim15KO,ABF1,P14164,intensity,samplingTime:nutrientP,0.03691240049495678,0.029596022659353002,1.2472081441420184,0.22672918144884688,0.2368018859310598
rim15KO,ABF1,P14164,normed_intensity,(Intercept),25.03228642349835,0.33084614436805565,75.66141195724722,4.61691405557264e-26,2.3702317936636886e-25
rim15KO,ABF1,P14164,normed_intensity,samplingTime,0.009534916916640393,0.019165402557174516,0.49750673841552173,0.6242573382532244,0.4624128431505366
rim15KO,ABF1,P14164,normed_intensity,nutrientP,0.4553567108958678,0.4678871044241512,0.9732191945240614,0.3420689807858358,0.31714367101431595
rim15KO,ABF1,P14164,normed_intensity,samplingTime:nutrientP,0.020097948556066784,0.02710397222469619,0.7415130295091669,0.46700110751143686,0.3901288987613603
rim15KO,ABF2,Q02486,intensity,(Intercept),28.962199856563455,0.2024338434461996,143.0699499822552,1.384463490282543e-31,2.0370065947865264e-30
