Protein IDs,Gene names,Protein names,Fasta headers,nutrient,samplingTime,replicate,genotype,data,value,genotype_number,rep_numner,time_number
Q99383,HRP1,Nuclear polyadenylated RNA-binding protein 4,sp|Q99383|HRP1_YEAST Nuclear polyadenylated RNA-binding protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HRP1 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,1.0616,2,3,4
Q99258,RIB3,"3,4-dihydroxy-2-butanone 4-phosphate synthase","sp|Q99258|RIB3_YEAST 3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RIB3 PE=1 SV=1",C,T00,R1,rim15KO,normed_ratio,1.1129,2,3,4
Q3E841,YNR034W-A,Uncharacterized protein YNR034W-A,sp|Q3E841|YN034_YEAST Uncharacterized protein YNR034W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YNR034W-A PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,0.65247,2,3,4
Q3E7Y3;P0C0W1,RPS22B;RPS22A,40S ribosomal protein S22-B;40S ribosomal protein S22-A,sp|Q3E7Y3|RS22B_YEAST 40S ribosomal protein S22-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS22B PE=1 SV=3;sp|P0C0W1|RS22A_YEAST 40S ribosomal protein S22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN,C,T00,R1,rim15KO,normed_ratio,0.97726,2,3,4
Q3E7X9,RPS28A,40S ribosomal protein S28-A,sp|Q3E7X9|RS28A_YEAST 40S ribosomal protein S28-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS28A PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,1.1183,2,3,4
Q3E792;P0C0T4,RPS25A;RPS25B,40S ribosomal protein S25-A;40S ribosomal protein S25-B,sp|Q3E792|RS25A_YEAST 40S ribosomal protein S25-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS25A PE=1 SV=1;sp|P0C0T4|RS25B_YEAST 40S ribosomal protein S25-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN,C,T00,R1,rim15KO,normed_ratio,0.9183,2,3,4
Q3E764,TMA7,Translation machinery-associated protein 7,sp|Q3E764|TMA7_YEAST Translation machinery-associated protein 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TMA7 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,1.1547,2,3,4
Q3E757;P0C0W9,RPL11B;RPL11A,60S ribosomal protein L11-B;60S ribosomal protein L11-A,sp|Q3E757|RL11B_YEAST 60S ribosomal protein L11-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL11B PE=1 SV=3;sp|P0C0W9|RL11A_YEAST 60S ribosomal protein L11-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN,C,T00,R1,rim15KO,normed_ratio,0.99431,2,3,4
Q3E754,RPS21B,40S ribosomal protein S21-B,sp|Q3E754|RS21B_YEAST 40S ribosomal protein S21-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS21B PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,1.0138,2,3,4
Q12754,RRP12,Ribosomal RNA-processing protein 12,sp|Q12754|RRP12_YEAST Ribosomal RNA-processing protein 12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RRP12 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,1.056,2,3,4
Q12680,GLT1,Glutamate synthase [NADH],sp|Q12680|GLT1_YEAST Glutamate synthase [NADH] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLT1 PE=1 SV=2,C,T00,R1,rim15KO,normed_ratio,0.98879,2,3,4
Q12532,RQC2,Ribosome quality control complex subunit 2,sp|Q12532|RQC2_YEAST Ribosome quality control complex subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RQC2 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,1.0521,2,3,4
Q12513,TMA17,Translation machinery-associated protein 17,sp|Q12513|TMA17_YEAST Translation machinery-associated protein 17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TMA17 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,0.68346,2,3,4
Q12499,NOP58,Nucleolar protein 58,sp|Q12499|NOP58_YEAST Nucleolar protein 58 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP58 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,1.0802,2,3,4
Q12480,AIM45,"Probable electron transfer flavoprotein subunit alpha, mitochondrial","sp|Q12480|ETFA_YEAST Probable electron transfer flavoprotein subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIM45 PE=1 SV=1",C,T00,R1,rim15KO,normed_ratio,1.0539,2,3,4
Q12466,TCB1,Tricalbin-1,sp|Q12466|TCB1_YEAST Tricalbin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TCB1 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,0.8682,2,3,4
Q12464,RVB2,RuvB-like protein 2,sp|Q12464|RUVB2_YEAST RuvB-like protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RVB2 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,1.0369,2,3,4
Q12460,NOP56,Nucleolar protein 56,sp|Q12460|NOP56_YEAST Nucleolar protein 56 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP56 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,1.08,2,3,4
Q12458,YPR1,Putative reductase 1,sp|Q12458|YPR1_YEAST Putative reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR1 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,0.9593,2,3,4
Q12452,ERG27,3-keto-steroid reductase,sp|Q12452|ERG27_YEAST 3-keto-steroid reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG27 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,0.88574,2,3,4
Q12451,OSH2,Oxysterol-binding protein homolog 2,sp|Q12451|OSH2_YEAST Oxysterol-binding protein homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OSH2 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,0.80513,2,3,4
Q12449,AHA1,Hsp90 co-chaperone AHA1,sp|Q12449|AHA1_YEAST Hsp90 co-chaperone AHA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AHA1 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,0.89316,2,3,4
Q12447,PAA1,Polyamine N-acetyltransferase 1,sp|Q12447|PAA1_YEAST Polyamine N-acetyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAA1 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,0.99939,2,3,4
Q12377,RPN6,26S proteasome regulatory subunit RPN6,sp|Q12377|RPN6_YEAST 26S proteasome regulatory subunit RPN6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN6 PE=1 SV=3,C,T00,R1,rim15KO,normed_ratio,0.98918,2,3,4
Q12363,WTM1,Transcriptional modulator WTM1,sp|Q12363|WTM1_YEAST Transcriptional modulator WTM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=WTM1 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,0.92398,2,3,4
Q12335,PST2,Protoplast secreted protein 2,sp|Q12335|PST2_YEAST Protoplast secreted protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PST2 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,0.91511,2,3,4
Q12314,SFM1,Protein arginine N-methyltransferase SFM1,sp|Q12314|SFM1_YEAST Protein arginine N-methyltransferase SFM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SFM1 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,1.0619,2,3,4
Q12305,RDL1,"Thiosulfate sulfurtransferase RDL1, mitochondrial",sp|Q12305|RDL1_YEAST Thiosulfate:glutathione sulfurtransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RDL1 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,0.81083,2,3,4
Q12285,MDY2,Ubiquitin-like protein MDY2,sp|Q12285|MDY2_YEAST Ubiquitin-like protein MDY2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDY2 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,1.0082,2,3,4
Q12265,PRS5,Ribose-phosphate pyrophosphokinase 5,sp|Q12265|KPR5_YEAST Ribose-phosphate pyrophosphokinase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRS5 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,1.0811,2,3,4
Q12250,RPN5,26S proteasome regulatory subunit RPN5,sp|Q12250|RPN5_YEAST 26S proteasome regulatory subunit RPN5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN5 PE=1 SV=3,C,T00,R1,rim15KO,normed_ratio,1.001,2,3,4
Q12230,LSP1,Sphingolipid long chain base-responsive protein LSP1,sp|Q12230|LSP1_YEAST Sphingolipid long chain base-responsive protein LSP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LSP1 PE=1 SV=1,C,T00,R1,rim15KO,normed_ratio,0.86512,2,3,4
