Gene names,ORF,genotype,nutrient,samplingTime,replicate,intensity,normalized_intensity
AAC1,ADT1,spike-in,C,T00,R1,139650001,55903430.61
AAC1,ADT1,rim15KO,C,T00,R1,183730001,83721322.29
AAC1,ADT1,WT,C,T00,R1,189670001,68043614.77
AAC1,ADT1,spike-in,C,T00,R3,360530001,94544692.66
AAC1,ADT1,rim15KO,C,T00,R3,283960001,86823717.87
AAC1,ADT1,WT,C,T00,R3,506410001,112648125.7
AAC1,ADT1,spike-in,C,T06,R1,111350001,101335687.6
AAC1,ADT1,rim15KO,C,T06,R1,489260001,540537032.8
AAC1,ADT1,WT,C,T06,R1,206290001,279521642.8
AAC1,ADT1,spike-in,C,T06,R3,163250001,101527105.3
AAC1,ADT1,rim15KO,C,T06,R3,668460001,592800153.5
AAC1,ADT1,WT,C,T06,R3,412140001,340884984.3
AAC1,ADT1,spike-in,C,T16,R1,130460001,110527978.1
AAC1,ADT1,rim15KO,C,T16,R1,706450001,1131480085
AAC1,ADT1,WT,C,T16,R1,371410001,798867938.8
AAC1,ADT1,spike-in,C,T16,R3,163040001,104108725
AAC1,ADT1,rim15KO,C,T16,R3,828840001,1080134759
AAC1,ADT1,WT,C,T16,R3,452000001,593356893.8
AAC1,ADT1,spike-in,C,T30,R1,98201001,89401485.01
AAC1,ADT1,rim15KO,C,T30,R1,467650001,814723511.6
AAC1,ADT1,WT,C,T30,R1,248060001,634245934.4
AAC1,ADT1,spike-in,C,T30,R3,137660001,115313734.1
AAC1,ADT1,rim15KO,C,T30,R3,800280001,1599644466
AAC1,ADT1,WT,C,T30,R3,418090001,721872165.9
AAC1,ADT1,spike-in,P,T06,R1,162790001,131565160.3
AAC1,ADT1,rim15KO,P,T06,R1,252120001,212402313.7
AAC1,ADT1,WT,P,T06,R1,261330001,264484297
AAC1,ADT1,spike-in,P,T06,R3,173940001,167520887.5
AAC1,ADT1,rim15KO,P,T06,R3,277060001,307711029.1
AAC1,ADT1,WT,P,T06,R3,365260001,372662504.3
AAC1,ADT1,spike-in,P,T16,R1,267140001,186612775
AAC1,ADT1,rim15KO,P,T16,R1,238990001,317741718.5
AAC1,ADT1,WT,P,T16,R1,184720001,295033671.7
AAC1,ADT1,spike-in,P,T16,R3,280800001,164041607.9
AAC1,ADT1,rim15KO,P,T16,R3,254710001,342042372.4
AAC1,ADT1,WT,P,T16,R3,317790001,371262833.7
AAC1,ADT1,spike-in,P,T30,R1,270530001,171601913.2
AAC1,ADT1,rim15KO,P,T30,R1,266240001,391782075
AAC1,ADT1,WT,P,T30,R1,144490001,289587873.6
AAC1,ADT1,spike-in,P,T30,R3,239930001,174377978.9
AAC1,ADT1,rim15KO,P,T30,R3,160560001,376647126
AAC1,ADT1,WT,P,T30,R3,213120001,412759070.7
AAC1,ADT1,spike-in,P,T00,R1,139650001,55903430.61
AAC1,ADT1,rim15KO,P,T00,R1,183730001,83721322.29
AAC1,ADT1,WT,P,T00,R1,189670001,68043614.77
AAC1,ADT1,spike-in,P,T00,R3,360530001,94544692.66
AAC1,ADT1,rim15KO,P,T00,R3,283960001,86823717.87
AAC1,ADT1,WT,P,T00,R3,506410001,112648125.7
AAH1,ADE,spike-in,C,T00,R1,196790001,78777200.77
AAH1,ADE,rim15KO,C,T00,R1,155280001,70757344.68
AAH1,ADE,WT,C,T00,R1,158030001,56692847.86
AAH1,ADE,spike-in,C,T00,R3,352820001,92522837.12
AAH1,ADE,rim15KO,C,T00,R3,194830001,59571295.18
AAH1,ADE,WT,C,T00,R3,306190001,68110285.42
AAH1,ADE,spike-in,C,T06,R1,60514001,55071646.58
AAH1,ADE,rim15KO,C,T06,R1,3517401,3886043.199
AAH1,ADE,WT,C,T06,R1,2298101,3113912.278
AAH1,ADE,spike-in,C,T06,R3,70447001,43811822.65
AAH1,ADE,rim15KO,C,T06,R3,1,0.886814697
AAH1,ADE,WT,C,T06,R3,1,0.82710968
AAH1,ADE,spike-in,C,T16,R1,66524001,56360288.74
AAH1,ADE,rim15KO,C,T16,R1,1,1.601642131
AAH1,ADE,WT,C,T16,R1,1,2.150905836
AAH1,ADE,spike-in,C,T16,R3,73073001,46660555.2
AAH1,ADE,rim15KO,C,T16,R3,1,1.303188502
AAH1,ADE,WT,C,T16,R3,1,1.312736488
AAH1,ADE,spike-in,C,T30,R1,64478001,58700308.36
AAH1,ADE,rim15KO,C,T30,R1,1,1.742165102
AAH1,ADE,WT,C,T30,R1,1,2.556824687
AAH1,ADE,spike-in,C,T30,R3,98690001,82669711.29
AAH1,ADE,rim15KO,C,T30,R3,1,1.99885598
AAH1,ADE,WT,C,T30,R3,1,1.726595145
AAH1,ADE,spike-in,P,T06,R1,140500001,113550617.6
AAH1,ADE,rim15KO,P,T06,R1,40633001,34231887.16
AAH1,ADE,WT,P,T06,R1,13885001,14052595.24
AAH1,ADE,spike-in,P,T06,R3,66670001,64209599.12
AAH1,ADE,rim15KO,P,T06,R3,7434201,8256643.441
AAH1,ADE,WT,P,T06,R3,7408001,7558134.472
AAH1,ADE,spike-in,P,T16,R1,121780001,85070389.44
AAH1,ADE,rim15KO,P,T16,R1,5444501,7238566.873
AAH1,ADE,WT,P,T16,R1,2414101,3855787.56
AAH1,ADE,spike-in,P,T16,R3,107080001,62555468.21
AAH1,ADE,rim15KO,P,T16,R3,5182601,6959558.456
AAH1,ADE,WT,P,T16,R3,4341201,5071671.796
AAH1,ADE,spike-in,P,T30,R1,83074001,52695292.41
AAH1,ADE,rim15KO,P,T30,R1,1,1.471537235
AAH1,ADE,WT,P,T30,R1,1,2.004207015
AAH1,ADE,spike-in,P,T30,R3,83551001,60723772.05
AAH1,ADE,rim15KO,P,T30,R3,1,2.345834103
AAH1,ADE,WT,P,T30,R3,1,1.93674488
AAH1,ADE,spike-in,P,T00,R1,196790001,78777200.77
AAH1,ADE,rim15KO,P,T00,R1,155280001,70757344.68
AAH1,ADE,WT,P,T00,R1,158030001,56692847.86
AAH1,ADE,spike-in,P,T00,R3,352820001,92522837.12
AAH1,ADE,rim15KO,P,T00,R3,194830001,59571295.18
AAH1,ADE,WT,P,T00,R3,306190001,68110285.42
AAP1,AAP1,spike-in,C,T00,R1,695780001,278528383.3
AAP1,AAP1,rim15KO,C,T00,R1,571210001,260286596.2
AAP1,AAP1,WT,C,T00,R1,666850001,239230686.7
AAP1,AAP1,spike-in,C,T00,R3,1315900001,345079080.3
AAP1,AAP1,rim15KO,C,T00,R3,858290001,262431077
AAP1,AAP1,WT,C,T00,R3,1478600001,328906456
AAP1,AAP1,spike-in,C,T06,R1,318430001,289791852.9
AAP1,AAP1,rim15KO,C,T06,R1,201410001,222518832.7
AAP1,AAP1,WT,C,T06,R1,175600001,237936887.5
AAP1,AAP1,spike-in,C,T06,R3,540340001,336043833.8
AAP1,AAP1,rim15KO,C,T06,R3,273610001,242641370.2
AAP1,AAP1,WT,C,T06,R3,397230001,328552778.9
AAP1,AAP1,spike-in,C,T16,R1,410550001,347825089.5
