Protein IDs,Protein names,Gene names,Fasta headers,rim15KO_C_T00_R1,rim15KO_C_T00_R2,rim15KO_C_T00_R3,rim15KO_C_T06_R1,rim15KO_C_T06_R2,rim15KO_C_T06_R3,rim15KO_C_T16_R1,rim15KO_C_T16_R2,rim15KO_C_T16_R3,rim15KO_C_T30_R1,rim15KO_C_T30_R2,rim15KO_C_T30_R3,rim15KO_N_T00_R1,rim15KO_N_T00_R2,rim15KO_N_T00_R3,rim15KO_N_T06_R1,rim15KO_N_T06_R2,rim15KO_N_T06_R3,rim15KO_N_T16_R1,rim15KO_N_T16_R2,rim15KO_N_T16_R3,rim15KO_N_T30_R1,rim15KO_N_T30_R2,rim15KO_N_T30_R3,rim15KO_P_T00_R1,rim15KO_P_T00_R2,rim15KO_P_T00_R3,rim15KO_P_T06_R1,rim15KO_P_T06_R2,rim15KO_P_T06_R3,rim15KO_P_T16_R1,rim15KO_P_T16_R2,rim15KO_P_T16_R3,rim15KO_P_T30_R1,rim15KO_P_T30_R2,rim15KO_P_T30_R3,WT_C_T00_R1,WT_C_T00_R2,WT_C_T00_R3,WT_C_T06_R1,WT_C_T06_R2,WT_C_T06_R3,WT_C_T16_R1,WT_C_T16_R2,WT_C_T16_R3,WT_C_T30_R1,WT_C_T30_R2,WT_C_T30_R3,WT_N_T00_R1,WT_N_T00_R2,WT_N_T00_R3,WT_N_T06_R1,WT_N_T06_R2,WT_N_T06_R3,WT_N_T16_R1,WT_N_T16_R2,WT_N_T16_R3,WT_N_T30_R1,WT_N_T30_R2,WT_N_T30_R3,WT_P_T00_R1,WT_P_T00_R2,WT_P_T00_R3,WT_P_T06_R1,WT_P_T06_R2,WT_P_T06_R3,WT_P_T16_R1,WT_P_T16_R2,WT_P_T16_R3,WT_P_T30_R1,WT_P_T30_R2,WT_P_T30_R3
Q9URQ5,High temperature lethal protein 1,HTL1,sp|Q9URQ5|HTL1_YEAST High temperature lethal protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HTL1 PE=1 SV=1,1.0611,0.93983,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0611,0.93983,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0611,0.83483,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81349,0.83483,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81349,0.83483,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81349,0.93983,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9P305,mRNA stability protein IGO2,IGO2,sp|Q9P305|IGO2_YEAST mRNA stability protein IGO2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IGO2 PE=1 SV=3,1.0193,0.98591,0.87741,0.81771,1.1326,NA,NA,NA,NA,NA,NA,NA,1.0193,0.98591,0.87741,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0193,1.0572,0.87741,NA,NA,0.86778,NA,NA,NA,NA,NA,NA,1.0212,1.0572,0.73212,1.4343,0.91568,NA,NA,NA,NA,NA,NA,NA,1.0212,1.0572,0.73212,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0212,0.98591,0.73212,NA,NA,0.9359,NA,NA,NA,NA,NA,NA
Q99394,Trafficking protein particle complex subunit 33,TRS33,sp|Q99394|TRS33_YEAST Trafficking protein particle complex subunit 33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRS33 PE=1 SV=1,1.1988,0.93801,1.1355,0.72724,NA,0.92847,NA,NA,NA,NA,NA,NA,1.1988,0.93801,1.1355,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1988,1.272,1.1355,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2255,1.272,1.067,0.93572,NA,0.90268,NA,NA,NA,NA,NA,NA,1.2255,1.272,1.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2255,0.93801,1.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99385,Vacuolar calcium ion transporter,VCX1,sp|Q99385|VCX1_YEAST Vacuolar calcium ion transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VCX1 PE=1 SV=1,0.74203,0.92767,1.0192,0.96652,1.0979,NA,NA,NA,NA,0.61954,NA,NA,0.74203,0.92767,1.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74203,0.83477,1.0192,1.1925,NA,NA,NA,1.1658,NA,NA,NA,NA,0.96386,0.83477,1.0995,1.0982,1.0552,NA,NA,NA,NA,1.0293,NA,NA,0.96386,0.83477,1.0995,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96386,0.92767,1.0995,1.265,NA,NA,NA,1.8284,NA,NA,NA,NA
Q99383,Nuclear polyadenylated RNA-binding protein 4,HRP1,sp|Q99383|HRP1_YEAST Nuclear polyadenylated RNA-binding protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HRP1 PE=1 SV=1,1.0616,1.0745,0.97787,0.9959,1.0189,0.95135,0.87922,0.82717,0.90826,0.87692,0.86591,1.1506,1.0616,1.0745,0.97787,0.97961,0.95284,0.81514,NA,0.80215,1.1694,NA,NA,1.5526,1.0616,0.99846,0.97787,0.86116,0.86927,0.86548,0.78176,0.84843,0.86229,0.69269,0.79518,0.83014,1.007,0.99846,0.98526,1.0704,0.91979,0.86066,0.77143,0.84547,0.71264,0.81649,0.92424,0.84414,1.007,0.99846,0.98526,0.96303,1.0256,0.82265,NA,0.6982,0.59287,NA,NA,0.46947,1.007,1.0745,0.98526,0.88372,0.94346,0.85785,0.81329,0.8014,0.78853,0.76875,0.75965,0.72944
Q99369,Family of serine hydrolases 3,FSH3,sp|Q99369|FSH3_YEAST Family of serine hydrolases 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FSH3 PE=2 SV=1,NA,NA,0.93599,NA,0.82445,NA,NA,0.88121,0.97318,NA,NA,NA,NA,NA,0.93599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93599,NA,NA,NA,NA,1.0195,0.81525,0.3318,0.94283,0.76914,NA,NA,1.1777,NA,1.0514,NA,NA,1.4448,1.003,NA,NA,NA,NA,NA,1.1777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1777,NA,NA,NA,NA,0.68402,0.79919,0.38031,0.7896,0.94257
Q99321,Diphosphoinositol polyphosphate phosphohydrolase DDP1,DDP1,sp|Q99321|DDP1_YEAST Diphosphoinositol polyphosphate phosphohydrolase DDP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DDP1 PE=1 SV=3,1.3689,1.2396,1.3996,NA,NA,1.7516,NA,NA,NA,NA,NA,1.5585,1.3689,1.2396,1.3996,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3689,1.2609,1.3996,2.0944,1.5528,NA,NA,1.5204,1.4383,1.2409,1.3687,1.2251,0.97901,1.2609,1.0284,NA,NA,1.2745,NA,NA,NA,NA,NA,0.95101,0.97901,1.2609,1.0284,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97901,1.2396,1.0284,1.7842,1.3542,NA,NA,1.3668,1.1506,1.1835,1.2159,1.0778
Q99316,Protein disulfide isomerase MPD2,MPD2,sp|Q99316|MPD2_YEAST Protein disulfide isomerase MPD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MPD2 PE=1 SV=1,0.94968,1.0565,1.1064,NA,NA,1.6312,1.3966,1.7813,2.4461,NA,2.0562,2.0845,0.94968,1.0565,1.1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94968,1.0272,1.1064,NA,NA,1.2673,NA,0.89098,NA,0.73634,NA,NA,0.98763,1.0272,1.0376,NA,NA,1.3212,1.3264,1.3184,1.3295,NA,1.3774,1.2831,0.98763,1.0272,1.0376,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98763,1.0565,1.0376,NA,NA,1.1365,NA,1.0526,NA,0.86463,NA,NA
Q99312,IMP-specific 5-nucleotidase 1,ISN1,sp|Q99312|ISN1_YEAST IMP-specific 5-nucleotidase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ISN1 PE=1 SV=1,0.91236,1.0148,0.99009,0.93817,0.99038,1.0644,1.3393,1.4459,1.1865,1.3955,1.3531,1.0155,0.91236,1.0148,0.99009,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91236,1.0004,0.99009,1.6804,1.7223,1.8099,1.6971,1.6457,1.577,1.8846,1.7922,1.5827,1.0851,1.0004,1.1746,1.2479,1.257,1.3283,1.484,1.2547,1.139,1.6168,1.2727,1.175,1.0851,1.0004,1.1746,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0851,1.0148,1.1746,1.9751,1.627,2.0364,1.7486,1.7753,1.5697,1.6611,1.7782,1.6654
Q99299,Altered inheritance of mitochondria protein 44,AIM44,sp|Q99299|AIM44_YEAST Altered inheritance of mitochondria protein 44 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIM44 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99297,Mitochondrial 2-oxodicarboxylate carrier 2,ODC2,sp|Q99297|ODC2_YEAST Mitochondrial 2-oxodicarboxylate carrier 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ODC2 PE=1 SV=1,0.95915,1.0262,1.1897,1.3302,1.3045,1.6097,2.4042,1.8554,2.5589,1.981,NA,2.1198,0.95915,1.0262,1.1897,NA,NA,1.808,NA,2.3505,3.4062,NA,NA,NA,0.95915,0.66044,1.1897,NA,0.86987,1.2152,0.61888,0.76265,NA,0.7298,NA,NA,0.7166,0.66044,1.1146,1.1233,1.2966,1.5962,1.2658,1.193,1.412,1.1097,NA,1.2971,0.7166,0.66044,1.1146,NA,NA,1.7769,NA,2.8083,0.9989,NA,NA,NA,0.7166,1.0262,1.1146,NA,0.86181,1.0468,0.47092,0.64631,NA,0.45582,NA,NA
