Protein IDs,Gene names,rim15KO_C_T00_R1,WT_C_T00_R1,rim15KO_C_T00_R3,WT_C_T00_R3,rim15KO_C_T06_R1,WT_C_T06_R1,rim15KO_C_T06_R3,WT_C_T06_R3,rim15KO_C_T16_R1,WT_C_T16_R1,rim15KO_C_T16_R3,WT_C_T16_R3,rim15KO_C_T30_R1,WT_C_T30_R1,rim15KO_C_T30_R3,WT_C_T30_R3,rim15KO_N_T06_R1,WT_N_T06_R1,rim15KO_N_T06_R3,WT_N_T06_R3,rim15KO_N_T16_R1,WT_N_T16_R1,rim15KO_N_T16_R3,WT_N_T16_R3,rim15KO_N_T30_R1,WT_N_T30_R1,rim15KO_N_T30_R3,WT_N_T30_R3,rim15KO_P_T06_R1,WT_P_T06_R1,rim15KO_P_T06_R3,WT_P_T06_R3,rim15KO_P_T16_R1,WT_P_T16_R1,rim15KO_P_T16_R3,WT_P_T16_R3,rim15KO_P_T30_R1,WT_P_T30_R1,rim15KO_P_T30_R3,WT_P_T30_R3,rim15KO_N_T00_R1,WT_N_T00_R1,rim15KO_N_T00_R3,WT_N_T00_R3,rim15KO_P_T00_R1,WT_P_T00_R1,rim15KO_P_T00_R3,WT_P_T00_R3,WT_C_T00_R2,rim15KO_C_T00_R2,WT_C_T06_R2,rim15KO_C_T06_R2,WT_C_T16_R2,rim15KO_C_T16_R2,WT_C_T30_R2,rim15KO_C_T30_R2,WT_N_T06_R2,rim15KO_N_T06_R2,WT_N_T16_R2,rim15KO_N_T16_R2,WT_N_T30_R2,rim15KO_N_T30_R2,WT_P_T06_R2,rim15KO_P_T06_R2,WT_P_T16_R2,rim15KO_P_T16_R2,WT_P_T30_R2,rim15KO_P_T30_R2,WT_N_T00_R2,rim15KO_N_T00_R2,WT_P_T00_R2,rim15KO_P_T00_R2
P04710,AAC1,1.1793,0.75513,0.83452,1.0649,NA,NA,6.105,3.1636,11.093,5.2161,14.191,4.1206,NA,NA,11.786,3.8383,3.2822,1.6517,3.7556,1.7067,NA,NA,6.1262,1.5805,NA,NA,NA,NA,2.352,2.3395,1.7528,2.3301,1.378,1.2736,1.4553,1.7131,1.6317,0.9429,1.3722,1.6649,1.1793,0.75513,0.83452,1.0649,1.1793,0.75513,0.83452,1.0649,0.61713,0.99092,2.7986,4.238,NA,NA,NA,NA,1.3205,3.2103,NA,NA,NA,NA,2.0294,1.7891,1.7057,1.3832,1.8723,1.3191,0.61713,0.99092,0.99092,0.61713
P53909,AAH1,1.0932,0.96164,1.0258,0.96823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37983,0.38849,0.4873,0.37291,NA,NA,NA,NA,NA,NA,NA,NA,1.0932,0.96164,1.0258,0.96823,1.0932,0.96164,1.0258,0.96823,0.8062,1.0883,0.30778,0.22834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8062,1.0883,1.0883,0.8062
P37898,AAP1,0.92101,0.92035,0.86217,0.95899,0.95878,0.86927,0.82045,0.98379,0.89025,0.92017,0.79537,0.89101,0.95515,0.97491,1.1006,0.8995,0.85469,0.9646,0.86357,0.91338,NA,NA,0.70333,1.074,NA,NA,0.54976,0.93797,0.59777,0.50867,0.64816,0.64396,0.41699,0.35988,0.5577,0.68846,0.52623,0.38937,0.50047,0.67957,0.92101,0.92035,0.86217,0.95899,0.92101,0.92035,0.86217,0.95899,0.86206,0.84018,0.93888,0.94457,0.9345,1.0211,0.87685,0.75489,1.0279,0.91842,0.69829,0.62485,NA,NA,0.60576,0.56901,0.59295,0.53394,0.59909,0.59048,0.86206,0.84018,0.84018,0.86206
P23542,AAT2,0.94125,1.0128,0.83647,0.84587,1.0568,1.0847,1.0785,0.87194,2.342,1.0921,1.1172,0.92588,2.7619,1.2274,1.387,0.86413,1.1908,0.94185,1.0752,0.84864,0.58028,0.85439,1.1952,0.7138,NA,NA,1.3353,0.38026,1.1998,1.2014,1.0451,0.90715,0.92769,0.76064,0.91394,0.67146,0.79625,0.50882,0.68653,0.51342,0.94125,1.0128,0.83647,0.84587,0.94125,1.0128,0.83647,0.84587,1.046,0.97855,1.0242,1.0686,1.1938,2.2091,1.3004,1.5935,1.0248,0.82086,0.79687,0.4923,0.9421,0.86454,1.0039,1.3669,0.7328,1.2646,0.54227,0.94837,1.046,0.97855,0.97855,1.046
P14164,ABF1,1.021,1.0152,0.94993,0.97853,1.1842,1.0297,NA,NA,1.0261,0.99462,1.0911,1.0333,1.6541,1.0206,0.89466,0.87821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1815,1.2881,1.0996,1.0515,1.287,1.1891,1.0006,0.93199,1.3599,1.0256,0.99889,0.77171,1.021,1.0152,0.94993,0.97853,1.021,1.0152,0.94993,0.97853,0.95565,1.0412,0.99568,1.1779,1.0927,1.633,0.90962,1.4764,NA,NA,NA,NA,NA,NA,1.2587,1.0342,1.0188,1.1553,0.86609,1.1154,0.95565,1.0412,1.0412,0.95565
Q02486,ABF2,0.95017,1.0473,1.0014,1.0783,1.7777,1.468,1.8284,1.6127,2.2908,1.5391,2.7619,1.851,1.5596,1.1841,2.0911,1.7108,0.99456,0.99841,NA,NA,NA,NA,1.8177,1.0332,NA,NA,NA,NA,1.2248000000000001,1.4432,1.2379,1.281,1.1329,1.3103,1.0429,1.1631,1.0041,1.3678,1.0739,1.1427,0.95017,1.0473,1.0014,1.0783,0.95017,1.0473,1.0014,1.0783,0.99052,0.91271,1.0398,1.4078,1.3343,2.4593,1.239,1.9938,0.93739,3.2758,NA,NA,NA,NA,1.3847,1.2658,1.1706,0.97508,1.2434,0.8916,0.99052,0.91271,0.91271,0.99052
P15891,ABP1,1.0119,1.0837,1.0231,1.1088,0.97847,1.1183,0.99427,1.1233,1.0902,1.0235,0.96774,1.0911,0.96561,1.0734,0.92081,1.1321,0.99008,1.0961,1.031,1.0616,0.85151,1.0224,0.94874,1.2331,0.81681,0.54309,0.93323,1.2461,1.1014,1.2791,1.1901,1.2491,1.0669,1.1008,1.0999,1.1486,1.005,1.1053,1.0252,1.0389,1.0119,1.0837,1.0231,1.1088,1.0119,1.0837,1.0231,1.1088,1.078,1.0345,1.091,1.0761,1.0659,1.0401,1.0904,1.0872,1.0334,0.9879,0.93964,0.86774,1.0868,0.68501,1.2797,1.1214,1.1271,1.0865,0.99969,1.0759,1.078,1.0345,1.0345,1.078
Q08641,ABP140,1.0364,1.0793,1.1287,1.1169,0.97486,1.165,1.0376,1.0262,1.0026,1.2019,0.85832,0.97871,1.0121,1.0277,0.94967,0.91808,1.1142,0.93263,NA,NA,NA,NA,NA,NA,NA,NA,0.9327,5.9958,0.89104,0.91243,0.87102,0.95669,0.75176,0.69981,0.7119,0.79444,NA,NA,0.51386,0.73961,1.0364,1.0793,1.1287,1.1169,1.0364,1.0793,1.1287,1.1169,1.0541,1.0137,1.114,0.96316,1.0237,1.0394,1.1991,0.7899,1.2483,0.97591,NA,NA,NA,NA,0.87961,0.90595,1.008,0.7754,0.54752,0.69613,1.0541,1.0137,1.0137,1.0541
P31787,ACB1,1.0502,0.97899,0.96539,0.75912,0.93625,0.7821,0.90337,0.77757,1.0295,0.74757,1.0469,0.80484,0.74325,0.7385,0.96248,0.81266,0.94542,0.9553,0.80805,0.88205,1.1766,0.88237,1.0796,0.69575,0.65466,0.77630999999999994,1.0649,0.79599,0.59553,0.6406,0.58805,0.57748,0.50432,0.56668,0.52435,0.50979,0.46235,0.51737,0.51881,0.49263,1.0502,0.97899,0.96539,0.75912,1.0502,0.97899,0.96539,0.75912,1.304,0.97769,0.91323,0.88023,0.82402,0.83676,0.91931,1.0256,1.0465,1.1976,0.93635,0.74406,0.77888,0.70079,0.6724,0.64694,0.52665,0.59238,0.45878,0.51086,1.304,0.97769,0.97769,1.304
Q00955,ACC1,0.9276,0.98155,1.0613,1.2387,1.2516,1.0228,1.1463,1.3218,1.3312,1.0634,1.316,1.3532,1.8857,1.1105,1.502,1.3197,0.83733,1.3895,0.97019,1.1996,0.57762,1.0284,0.45433,1.1219,0.65786,1.101,0.47833,1.0335,0.63668,0.83379,0.72831,0.82565,0.41434,0.49068,0.56737,0.75388,0.47098,0.50956,0.47237,0.69367,0.9276,0.98155,1.0613,1.2387,0.9276,0.98155,1.0613,1.2387,1.0634,1.0005,1.07,1.113,1.0534,1.1794,1.021,1.3614,1.3461,0.85218,1.1722,0.67066,1.1345,0.53108,0.78115,0.81277,0.67285,0.62133,0.58591,0.54442,1.0634,1.0005,1.0005,1.0634
