Protein IDs,Gene names,C_WT_module,C_rim15_module,P_WT_module,P_rim15_module
P04710,AAC1,NA,NA,blue,blue
P37898,AAP1,NA,NA,turquoise,turquoise
P23542,AAT2,NA,turquoise,turquoise,brown
P14164,ABF1,NA,NA,brown,NA
Q02486,ABF2,turquoise,turquoise,blue,blue
P15891,ABP1,NA,NA,brown,blue
P31787,ACB1,NA,NA,turquoise,turquoise
Q00955,ACC1,NA,turquoise,turquoise,turquoise
P32316,ACH1,turquoise,turquoise,blue,blue
P19414,ACO1,NA,turquoise,NA,NA
P39533,ACO2,turquoise,turquoise,NA,NA
P52910,ACS2,blue,turquoise,turquoise,brown
P60010,ACT1,blue,unassigned,NA,NA
P27616,ADE1,turquoise,turquoise,blue,blue
P80210,ADE12,turquoise,turquoise,blue,blue
Q05911,ADE13,turquoise,turquoise,blue,blue
P54113,ADE16,turquoise,NA,NA,turquoise
P38009,ADE17,turquoise,turquoise,blue,blue
P21264,ADE2,turquoise,turquoise,blue,blue
P07245,ADE3,NA,NA,brown,blue
P04046,ADE4,blue,turquoise,blue,blue
P07244,"ADE5,7",NA,turquoise,blue,blue
P38972,ADE6,turquoise,NA,blue,blue
P00330,ADH1,turquoise,turquoise,blue,blue
P07246,ADH3,turquoise,turquoise,blue,blue
Q04894,ADH6,NA,turquoise,turquoise,turquoise
P07170,ADK1,NA,NA,turquoise,brown
P47143,ADO1,turquoise,turquoise,turquoise,turquoise
Q12449,AHA1,turquoise,turquoise,turquoise,NA
P38013,AHP1,NA,NA,turquoise,NA
P23180,AIM17,turquoise,turquoise,blue,blue
P36154,AIM29,NA,NA,NA,blue
Q12032,AIM41,NA,NA,blue,blue
Q12480,AIM45,turquoise,turquoise,brown,blue
P40053,AIM9,turquoise,turquoise,blue,NA
P46680,AIP1,turquoise,turquoise,blue,NA
P40825,ALA1,blue,NA,turquoise,turquoise
P46367,ALD4,turquoise,turquoise,blue,blue
P40047,ALD5,turquoise,turquoise,blue,blue
P54115,ALD6,NA,NA,turquoise,blue
P54783,ALO1,NA,NA,turquoise,brown
P52893,ALT1,turquoise,turquoise,blue,blue
P15274,AMD1,turquoise,NA,unassigned,NA
P22855,AMS1,turquoise,turquoise,blue,blue
P16550,APA1,NA,NA,turquoise,turquoise
P14904,APE1,turquoise,turquoise,blue,blue
