network,nutrient,genotype,protein_id,gene_name,module
C_WT,C,WT,O13297,CET1,turquoise
C_WT,C,WT,O14455,RPL36B,turquoise
C_WT,C,WT,O14467,MBF1,blue
C_WT,C,WT,P00128,QCR7,turquoise
C_WT,C,WT,P00330,ADH1,turquoise
C_WT,C,WT,P00427,COX6,turquoise
C_WT,C,WT,P00431,CCP1,turquoise
C_WT,C,WT,P00445,SOD1,turquoise
C_WT,C,WT,P00447,SOD2,turquoise
C_WT,C,WT,P00812,CAR1,turquoise
C_WT,C,WT,P00830,ATP2,turquoise
C_WT,C,WT,P00890,CIT1,turquoise
C_WT,C,WT,P00899,TRP2,blue
C_WT,C,WT,P02406,RPL28,turquoise
C_WT,C,WT,P02829,HSP82,turquoise
C_WT,C,WT,P02994,TEF1,turquoise
C_WT,C,WT,P03962,URA3,turquoise
C_WT,C,WT,P04037,COX4,turquoise
C_WT,C,WT,P04046,ADE4,blue
C_WT,C,WT,P04050,RPO21,blue
C_WT,C,WT,P04076,ARG4,turquoise
C_WT,C,WT,P04456,RPL25,turquoise
C_WT,C,WT,P04802,DPS1,turquoise
C_WT,C,WT,P04806,HXK1,turquoise
C_WT,C,WT,P04840,POR1,turquoise
C_WT,C,WT,P05030,PMA1,turquoise
C_WT,C,WT,P05317,RPP0,turquoise
C_WT,C,WT,P05453,SUP35,turquoise
C_WT,C,WT,P05626,ATP4,turquoise
C_WT,C,WT,P05694,MET6,turquoise
C_WT,C,WT,P05739,RPL6B,turquoise
C_WT,C,WT,P05740,RPL17A,unassigned
C_WT,C,WT,P05744,RPL33A,turquoise
C_WT,C,WT,P05755,RPS9B,turquoise
C_WT,C,WT,P05756,RPS13,turquoise
C_WT,C,WT,P06101,CDC37,unassigned
C_WT,C,WT,P06106,MET17,turquoise
C_WT,C,WT,P06168,ILV5,turquoise
C_WT,C,WT,P06169;Q07471,PDC1,turquoise
C_WT,C,WT,P06208,LEU4,turquoise
C_WT,C,WT,P06634,DED1,blue
C_WT,C,WT,P06738,GPH1,turquoise
C_WT,C,WT,P06780,RHO1,turquoise
C_WT,C,WT,P06785,CDC21,blue
C_WT,C,WT,P07143,CYT1,turquoise
C_WT,C,WT,P07172,HIS5,turquoise
C_WT,C,WT,P07213,TOM70,turquoise
C_WT,C,WT,P07246,ADH3,turquoise
C_WT,C,WT,P07251,ATP1,turquoise
C_WT,C,WT,P07256,COR1,turquoise
C_WT,C,WT,P07257,QCR2,turquoise
C_WT,C,WT,P07260,CDC33,unassigned
C_WT,C,WT,P07262,GDH1,unassigned
C_WT,C,WT,P07264,LEU1,turquoise
C_WT,C,WT,P07267,PEP4,turquoise
C_WT,C,WT,P07273,DST1,blue
C_WT,C,WT,P07275,PUT2,turquoise
C_WT,C,WT,P07278,BCY1,turquoise
C_WT,C,WT,P07283,SEC53,turquoise
C_WT,C,WT,P07284,SES1,turquoise
C_WT,C,WT,P07285,TRP4,turquoise
C_WT,C,WT,P07342,ILV2,unassigned
C_WT,C,WT,P07560,SEC4,unassigned
C_WT,C,WT,P07702,LYS2,turquoise
C_WT,C,WT,P07703,RPC40,turquoise
C_WT,C,WT,P07991,CAR2,turquoise
C_WT,C,WT,P08417,FUM1,turquoise
C_WT,C,WT,P08518,RPB2,turquoise
C_WT,C,WT,P09064,SUI3,turquoise
C_WT,C,WT,P09232,PRB1,turquoise
C_WT,C,WT,P09457,ATP5,turquoise
C_WT,C,WT,P09624,LPD1,turquoise
C_WT,C,WT,P09733,TUB1,turquoise
C_WT,C,WT,P09938,RNR2,turquoise
C_WT,C,WT,P0C2H7;P0C2H6,RPL27B,blue
C_WT,C,WT,P0CX24;P0CX23,RPL20B,turquoise
C_WT,C,WT,P0CX36;P0CX35,RPS4B,turquoise
C_WT,C,WT,P0CX40;P0CX39,RPS8B,turquoise
C_WT,C,WT,P0CX42;P0CX41,RPL23B,turquoise
C_WT,C,WT,P0CX52;P0CX51,RPS16B,blue
C_WT,C,WT,P0CX83;P0CX82,RPL19B,turquoise
C_WT,C,WT,P10591,SSA1,turquoise
C_WT,C,WT,P10664,RPL4A,turquoise
