protein_id,gene_name,C_WT_module,C_rim15_module,P_WT_module,P_rim15_module
O13297,CET1,turquoise,turquoise,NA,NA
O14455,RPL36B,turquoise,NA,turquoise,turquoise
O14467,MBF1,blue,blue,turquoise,turquoise
O43137,YBR085C-A,NA,NA,unassigned,brown
O74700,TIM9,NA,turquoise,turquoise,turquoise
P00128,QCR7,turquoise,turquoise,blue,blue
P00330,ADH1,turquoise,turquoise,blue,blue
P00358,TDH2,NA,NA,turquoise,blue
P00359,TDH3,NA,NA,blue,blue
P00360,TDH1,NA,NA,blue,blue
P00427,COX6,turquoise,turquoise,blue,blue
P00431,CCP1,turquoise,turquoise,blue,blue
P00445,SOD1,turquoise,turquoise,blue,turquoise
P00447,SOD2,turquoise,turquoise,blue,blue
P00498,HIS1,NA,NA,blue,blue
P00546,CDC28,NA,unassigned,NA,NA
P00549,CDC19,NA,NA,blue,blue
P00560,PGK1,NA,NA,blue,blue
P00729,PRC1,NA,NA,blue,blue
P00812,CAR1,turquoise,turquoise,turquoise,blue
P00815,HIS4,NA,turquoise,blue,blue
P00817,IPP1,NA,turquoise,blue,blue
P00830,ATP2,turquoise,turquoise,blue,blue
P00890,CIT1,turquoise,turquoise,blue,blue
P00899,TRP2,blue,turquoise,turquoise,brown
P00924,ENO1,NA,NA,blue,blue
P00925,ENO2,NA,NA,brown,brown
P00927,ILV1,NA,NA,brown,NA
P00931,TRP5,NA,turquoise,turquoise,NA
P00937,TRP3,NA,unassigned,NA,NA
P00942,TPI1,NA,turquoise,turquoise,turquoise
P00950,GPM1,NA,turquoise,blue,blue
P00958,MES1,NA,turquoise,turquoise,turquoise
P01120,RAS2,NA,turquoise,blue,blue
P01123,YPT1,NA,turquoise,turquoise,brown
P02294;P02293,HTB2,NA,turquoise,turquoise,turquoise
P02309,HHF1,NA,turquoise,turquoise,blue
P02400,RPP2B,NA,unassigned,turquoise,turquoise
P02406,RPL28,turquoise,blue,turquoise,turquoise
P02557,TUB2,NA,NA,unassigned,NA
P02829,HSP82,turquoise,turquoise,NA,brown
P02992,TUF1,NA,turquoise,turquoise,brown
P02994,TEF1,turquoise,NA,turquoise,turquoise
P03962,URA3,turquoise,turquoise,turquoise,NA
P03965,CPA2,NA,NA,turquoise,NA
P04037,COX4,turquoise,turquoise,blue,blue
P04046,ADE4,blue,turquoise,blue,blue
P04050,RPO21,blue,NA,turquoise,turquoise
P04076,ARG4,turquoise,turquoise,blue,blue
P04147,PAB1,NA,NA,turquoise,turquoise
P04173,LEU2,NA,NA,blue,blue
P04449,RPL24A,NA,NA,turquoise,turquoise
P04456,RPL25,turquoise,turquoise,turquoise,turquoise
P04710,AAC1,NA,NA,blue,blue
P04801,THS1,NA,NA,turquoise,turquoise
P04802,DPS1,turquoise,turquoise,turquoise,turquoise
