Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides 4,Peptides 5,Razor + unique peptides 4,Razor + unique peptides 5,Unique peptides 4,Unique peptides 5,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L 4,Ratio H/L 5,Ratio H/L normalized 4,Ratio H/L normalized 5,Ratio H/L variability [%] 4,Ratio H/L variability [%] 5,Ratio H/L count 4,Ratio H/L count 5,Ratio H/L iso-count 4,Ratio H/L iso-count 5,Ratio H/L type 4,Ratio H/L type 5,Sequence coverage 4 [%],Sequence coverage 5 [%],Intensity,Intensity L,Intensity H,Intensity 4,Intensity L 4,Intensity H 4,Intensity 5,Intensity L 5,Intensity H 5,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions
sp|Q92393|YO12B_YEAST;sp|Q12316|YG13B_YEAST;sp|Q12088|YL11B_YEAST;sp|Q04670|YM14B_YEAST;sp|Q03855|YD11B_YEAST;sp|Q03619|YE12B_YEAST;sp|P0C2I2|YD14B_YEAST;sp|Q12193|YB12B_YEAST;sp|P0C2J0|YP13B_YEAST;sp|O13535|YH11B_YEAST;sp|Q99231|YD12B_YEAST;sp|Q04711|YM11B_YEAST;sp|P0C2J1|YP14B_YEAST;sp|P0C2I7|YL14B_YEAST;sp|Q12273|YO11B_YEAST;sp|Q12490|YB11B_YEAST;sp|O13527|YA11B_YEAST;sp|Q12266|YB11A_YEAST,sp|Q92393|YO12B_YEAST;sp|Q12316|YG13B_YEAST;sp|Q12088|YL11B_YEAST;sp|Q04670|YM14B_YEAST;sp|Q03855|YD11B_YEAST;sp|Q03619|YE12B_YEAST;sp|P0C2I2|YD14B_YEAST;sp|Q12193|YB12B_YEAST;sp|P0C2J0|YP13B_YEAST;sp|O13535|YH11B_YEAST;sp|Q99231|YD12B_YEAST;sp|Q04711|YM11B_YEAST;sp|P0C2J1|YP14B_YEAST;sp|P0C2I7|YL14B_YEAST;sp|Q12273|YO11B_YEAST,17;17;17;17;17;17;17;17;17;17;15;15;15;15;14;5;3;1,2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,;;;;;;;;;;;;;;,18,17,2,0,15,15,1,2,0,0,11.9,2.2,0,198.53,1755,1755;1755;1755;1755;1755;1755;1755;1756;1756;1793;1755;1755;1755;1755;1755;1755;1196;440,0,11.619,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,11.9,11.7,17451000,0,17451000,6095200,0,6095200,11356000,0,11356000,,,,11,191;507;671;962;1842;1910;2440;2441;2560;3001;3015;3455;3540;3822;4157;4410;4411,False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False,195;521;687;987;1885;1959;2505;2506;2638;3088;3103;3563;3650;3943;4290;4550;4551,325;326;847;848;1114;1115;1586;1587;3009;3010;3125;3126;4038;4039;4040;4250;4251;4252;4253;4254;4968;4969;4989;5746;5747;5914;5915;5916;6444;6445;6446;7021;7022;7023;7456;7457,456;457;458;1211;1212;1213;1214;1592;1593;2241;2242;4365;4366;4367;4558;4559;5911;5912;5913;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211;6212;6213;7239;7240;7269;8334;8335;8336;8337;8614;8615;8616;8617;8618;9605;9606;9607;9608;9609;10496;10497;10498;10499;11142;11143,457;1212;1592;2242;4365;4558;5911;5912;6207;7240;7269;8336;8616;9605;10496;11142;11143,,
sp|O14455|RL36B_YEAST,sp|O14455|RL36B_YEAST,15,15,3,,1,15,15,3,12,13,12,13,3,2,76,76,15,11.135,100,100,0,83.767,25.305,21.988,167.15,14,14,Median,20.794,27.989,12.911,31.161,108.78,207.51,7,7,7,7,Median,Median,76,71,381210000,4624800,376590000,96629000,2277100,94352000,284580000,2347700,282240000,,,,12,861;1156;1889;2090;2980;2982;3300;3301;3604;3605;3606;3892;3893;4164;4165,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,881;1186;1933;1934;2144;3066;3068;3404;3405;3717;3718;3719;4016;4017;4018;4298;4299;4300,1418;1897;1898;3080;3081;3082;3083;3433;3434;3435;3436;4930;4931;4935;4936;5490;5491;5492;6062;6063;6064;6065;6066;6566;6567;6568;6569;6570;7037;7038;7039;7040,2015;2718;2719;4471;4472;4473;4474;4475;4476;4477;5035;5036;5037;5038;7184;7185;7189;7190;7191;7982;7983;7984;7985;7986;8961;8962;8963;8964;8965;8966;8967;8968;8969;8970;9780;9781;9782;9783;9784;9785;10518;10519;10520;10521,2015;2719;4475;5035;7185;7191;7983;7986;8961;8965;8969;9780;9784;10520;10521,1;2,20;90
sp|O14467|MBF1_YEAST,sp|O14467|MBF1_YEAST,9,9,9,,1,9,9,9,3,9,3,9,3,9,66.9,66.9,66.9,16.403,151,151,0,32.997,4.499,3.2221,107.35,4,4,Median,NaN,4.499,NaN,3.2221,NaN,107.35,0,4,0,4,Median,Median,36.4,66.9,36448000,1275000,35173000,9980100,0,9980100,26468000,1275000,25193000,,,,13,160;223;683;1551;1798;3004;3344;3875;4329,True;True;True;True;True;True;True;True;True,162;227;699;1587;1839;3091;3450;3999;4468,270;375;1133;2539;2540;2940;4973;5562;5563;6538;6539;7323,380;524;1616;3664;3665;4258;7248;8085;8086;9743;9744;10955,380;524;1616;3664;4258;7248;8086;9743;10955,,
sp|P0CX58|YP12A_YEAST;sp|P0CX57|YA11A_YEAST;sp|O74302|YD13A_YEAST;sp|Q04706|YM11A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q12391|YN11A_YEAST;sp|Q04215|YM13A_YEAST;sp|Q03964|YD17A_YEAST,sp|P0CX58|YP12A_YEAST;sp|P0CX57|YA11A_YEAST;sp|O74302|YD13A_YEAST;sp|Q04706|YM11A_YEAST;sp|Q12470|YN12A_YEAST,14;14;14;12;11;3;2;2,1;1;1;1;1;0;0;0,0;0;0;0;0;0;0;0,;;;;,8,14,1,0,14,12,1,1,0,0,38.4,4.8,0,49.072,440,440;440;440;440;440;440;440;440,0,7.7512,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,38.4,37.5,7763600,0,7763600,4039700,0,4039700,3723900,0,3723900,,,,14,191;671;962;1910;2444;2445;2560;3455;3456;3540;3822;4157;4410;4411,False;False;False;False;False;False;False;False;True;False;False;False;False;False,195;687;987;1959;2510;2511;2512;2638;3563;3564;3650;3943;4290;4550;4551,325;326;1114;1115;1586;1587;3125;3126;4049;4050;4051;4052;4053;4250;4251;4252;4253;4254;5746;5747;5748;5749;5914;5915;5916;6444;6445;6446;7021;7022;7023;7456;7457,456;457;458;1592;1593;2241;2242;4558;4559;5924;5925;5926;5927;5928;5929;5930;5931;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211;6212;6213;8334;8335;8336;8337;8338;8339;8340;8614;8615;8616;8617;8618;9605;9606;9607;9608;9609;10496;10497;10498;10499;11142;11143,457;1592;2242;4558;5926;5930;6207;8336;8338;8616;9605;10496;11142;11143,3,1
sp|O74700|TIM9_YEAST,sp|O74700|TIM9_YEAST,1,1,1,,1,1,1,1,0,1,0,1,0,1,12.6,12.6,12.6,10.202,87,87,0,3.289,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,0,12.6,1990100,0,1990100,0,0,0,1990100,0,1990100,,,,15,2348,TRUE,2407,3857,5607,5607,,
sp|O94742|SEM1_YEAST,sp|O94742|SEM1_YEAST,1,1,1,,1,1,1,1,1,1,1,1,1,1,13.5,13.5,13.5,10.386,89,89,0,2.688,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,13.5,13.5,1771800,0,1771800,867000,0,867000,904840,0,904840,,,,16,3413,TRUE,3521,5684;5685,8246;8247,8246,,
sp|P00330|ADH1_YEAST;sp|P00331|ADH2_YEAST;sp|P38113|ADH5_YEAST,sp|P00330|ADH1_YEAST,34;10;1,34;10;1,33;9;1,,3,34,34,33,24,30,24,30,23,29,67,67,67,36.849,348,348;348;351,0,261.81,1562.7,1046.2,160.7,28,27,Linear,392.43,35.543,26.815,24.431,135.6,181.63,12,16,11,16,Linear,Median,65.8,67,3056900000,24365000,3032500000,1200000000,5307800,1194700000,1856900000,19057000,1837900000,,,,17,327;328;339;343;422;423;424;548;675;676;679;781;782;824;879;1238;1255;1310;1449;2027;2437;3065;3211;3212;3222;3230;3231;3232;4020;4021;4183;4184;4408;4413,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,331;332;333;334;346;350;436;437;438;562;691;692;695;800;801;844;900;1269;1287;1343;1484;2078;2501;3154;3155;3309;3310;3320;3321;3329;3330;3331;4152;4153;4318;4319;4320;4547;4548;4553,540;541;542;543;544;545;546;564;565;569;570;715;716;717;718;918;919;1122;1123;1124;1127;1128;1293;1294;1295;1296;1360;1361;1448;2031;2032;2056;2057;2137;2138;2371;2372;3316;4026;4027;4028;5078;5079;5080;5081;5339;5340;5341;5355;5356;5357;5358;5370;5371;5372;5373;5374;5375;6797;6798;7068;7069;7070;7071;7450;7451;7452;7459;7460,767;768;769;770;771;772;773;774;775;776;777;778;779;780;781;782;783;784;785;786;787;788;789;790;791;814;815;816;817;818;819;820;821;822;826;827;828;829;1034;1035;1036;1037;1038;1039;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1600;1601;1602;1603;1604;1605;1606;1609;1610;1856;1857;1858;1859;1939;1940;2053;2893;2894;2895;2896;2921;2922;2923;2924;2925;2926;3031;3032;3408;3409;4821;4822;5885;5886;5887;5888;5889;7391;7392;7393;7394;7395;7396;7397;7398;7399;7400;7401;7402;7403;7752;7753;7754;7773;7774;7775;7776;7777;7778;7779;7780;7781;7782;7783;7784;7785;7786;7787;7788;7789;7811;7812;7813;7814;7815;7816;7817;7818;7819;7820;7821;7822;7823;7824;10166;10167;10168;10561;10562;10563;10564;10565;10566;10567;10568;10569;10570;10571;10572;10573;11135;11136;11137;11145;11146,786;790;815;826;1034;1036;1038;1310;1605;1606;1609;1856;1857;1939;2053;2893;2922;3032;3408;4821;5888;7398;7752;7754;7777;7811;7814;7817;10166;10168;10561;10573;11136;11146,4;5;6;7,169;194;271;333
sp|P00358|G3P2_YEAST;sp|P00360|G3P1_YEAST,sp|P00358|G3P2_YEAST,28;10,3;2,3;2,,2,28,3,3,21,25,2,3,2,3,71.4,16.3,16.3,35.846,332,332;332,0,26.406,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,59.6,66.3,340990000,0,340990000,157010000,0,157010000,183970000,0,183970000,,,,18,756;888;951;952;953;1209;1472;1657;1892;1893;2207;2208;2343;2392;2393;2394;2717;3546;3979;3980;4036;4079;4105;4174;4189;4190;4285;4395,False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False,774;909;976;977;978;1240;1507;1695;1938;1939;1940;1941;1942;2265;2266;2402;2451;2452;2453;2801;3656;4109;4110;4111;4168;4212;4238;4309;4325;4326;4424;4534,1253;1462;1566;1567;1568;1569;1570;1571;1990;2406;2407;2716;2717;2718;2719;3088;3089;3090;3091;3092;3093;3094;3095;3096;3097;3631;3632;3633;3634;3635;3847;3848;3932;3933;3934;3935;3936;3937;3938;3939;3940;3941;3942;3943;4517;5926;5927;6728;6729;6730;6731;6732;6733;6819;6820;6821;6899;6940;6941;7054;7055;7077;7078;7079;7250;7251;7430;7431,1793;2070;2203;2204;2205;2206;2207;2208;2209;2210;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;2835;3461;3462;3463;3464;3931;3932;3933;3934;3935;3936;3937;3938;3939;3940;3941;3942;3943;3944;3945;3946;3947;3948;4483;4484;4485;4486;4487;4488;4489;4490;4491;4492;4493;4494;4495;4496;4497;4498;4499;4500;4501;4502;4503;4504;4505;4506;4507;4508;4509;4510;4511;4512;4513;4514;4515;4516;4517;4518;4519;5313;5314;5315;5316;5317;5318;5319;5320;5321;5590;5591;5592;5593;5594;5595;5596;5723;5724;5725;5726;5727;5728;5729;5730;5731;5732;5733;5734;5735;5736;5737;5738;5739;5740;5741;5742;5743;5744;5745;5746;5747;5748;5749;5750;5751;5752;5753;5754;5755;5756;5757;5758;5759;5760;5761;5762;6609;8633;8634;8635;8636;8637;8638;8639;8640;8641;8642;8643;8644;8645;8646;8647;8648;10046;10047;10048;10049;10050;10051;10052;10053;10054;10055;10198;10199;10200;10324;10381;10382;10383;10384;10385;10536;10537;10538;10539;10540;10541;10542;10543;10582;10583;10584;10585;10848;10849;10850;10851;10852;10853;10854;11106;11107;11108;11109,1793;2070;2204;2210;2217;2835;3462;3931;4484;4519;5314;5318;5592;5723;5725;5726;6609;8642;10050;10053;10199;10324;10382;10540;10582;10584;10851;11106,8;9;10;11;12,128;131;173;179;229
sp|P00359|G3P3_YEAST,sp|P00359|G3P3_YEAST,31,31,6,,1,31,31,6,23,28,23,28,4,6,85.2,85.2,32.2,35.746,332,332,0,271.53,441.87,373.4,182.34,30,30,Linear,216.21,237.45,160.57,53.013,154.12,216,18,12,18,12,Linear,Plateau,80.1,82.2,4070400000,11050000,4059400000,1784400000,5795800,1778600000,2286000000,5253900,2280700000,,,,19,756;888;951;952;953;1209;1388;1389;1472;1657;1785;1892;1893;2129;2207;2208;2343;2392;2393;2394;3546;3977;3978;4036;4079;4105;4174;4189;4190;4285;4395,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,774;909;976;977;978;1240;1423;1424;1507;1695;1826;1938;1939;1940;1941;1942;2184;2265;2266;2402;2451;2452;2453;3656;4105;4106;4107;4108;4168;4212;4238;4309;4325;4326;4424;4534,1253;1462;1566;1567;1568;1569;1570;1571;1990;2280;2281;2406;2407;2716;2717;2718;2719;2917;2918;2919;3088;3089;3090;3091;3092;3093;3094;3095;3096;3097;3503;3504;3631;3632;3633;3634;3635;3847;3848;3932;3933;3934;3935;3936;3937;3938;3939;3940;3941;3942;3943;5926;5927;6707;6708;6709;6710;6711;6712;6713;6714;6715;6716;6717;6718;6719;6720;6721;6722;6723;6724;6725;6726;6727;6819;6820;6821;6899;6940;6941;7054;7055;7077;7078;7079;7250;7251;7430;7431,1793;2070;2203;2204;2205;2206;2207;2208;2209;2210;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;2835;3278;3279;3461;3462;3463;3464;3931;3932;3933;3934;3935;3936;3937;3938;3939;3940;3941;3942;3943;3944;3945;3946;3947;3948;4233;4234;4235;4236;4483;4484;4485;4486;4487;4488;4489;4490;4491;4492;4493;4494;4495;4496;4497;4498;4499;4500;4501;4502;4503;4504;4505;4506;4507;4508;4509;4510;4511;4512;4513;4514;4515;4516;4517;4518;4519;5132;5133;5134;5313;5314;5315;5316;5317;5318;5319;5320;5321;5590;5591;5592;5593;5594;5595;5596;5723;5724;5725;5726;5727;5728;5729;5730;5731;5732;5733;5734;5735;5736;5737;5738;5739;5740;5741;5742;5743;5744;5745;5746;5747;5748;5749;5750;5751;5752;5753;5754;5755;5756;5757;5758;5759;5760;5761;5762;8633;8634;8635;8636;8637;8638;8639;8640;8641;8642;8643;8644;8645;8646;8647;8648;9976;9977;9978;9979;9980;9981;9982;9983;9984;9985;9986;9987;9988;9989;9990;9991;9992;9993;9994;9995;9996;9997;9998;9999;10000;10001;10002;10003;10004;10005;10006;10007;10008;10009;10010;10011;10012;10013;10014;10015;10016;10017;10018;10019;10020;10021;10022;10023;10024;10025;10026;10027;10028;10029;10030;10031;10032;10033;10034;10035;10036;10037;10038;10039;10040;10041;10042;10043;10044;10045;10198;10199;10200;10324;10381;10382;10383;10384;10385;10536;10537;10538;10539;10540;10541;10542;10543;10582;10583;10584;10585;10848;10849;10850;10851;10852;10853;10854;11106;11107;11108;11109,1793;2070;2204;2210;2217;2835;3278;3279;3462;3931;4236;4484;4519;5132;5314;5318;5592;5723;5725;5726;8642;9992;10038;10199;10324;10382;10540;10582;10584;10851;11106,8;9;10;13,128;131;173;229
sp|P00445|SODC_YEAST,sp|P00445|SODC_YEAST,11,11,11,,1,11,11,11,10,9,10,9,10,9,63.6,63.6,63.6,15.854,154,154,0,56.474,12.426,7.5104,32.378,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,Median,Median,63.6,63,94772000,454630,94318000,38590000,153550,38437000,56182000,301070,55881000,,,,20,1860;2101;2102;3489;3490;3559;3614;3631;3632;4080;4081,True;True;True;True;True;True;True;True;True;True;True,1903;2156;2157;3599;3600;3669;3727;3745;3746;4213;4214,3033;3457;3458;5815;5816;5817;5818;5819;5949;5950;6077;6078;6113;6114;6115;6116;6900;6901;6902;6903,4396;5071;5072;5073;8464;8465;8466;8467;8468;8469;8676;8677;8982;8983;8984;8985;9081;9082;9083;9084;9085;9086;10325;10326;10327;10328,4396;5071;5073;8465;8467;8677;8982;9084;9085;10325;10327,,
