Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides 4,Peptides 5,Razor + unique peptides 4,Razor + unique peptides 5,Unique peptides 4,Unique peptides 5,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L 4,Ratio H/L 5,Ratio H/L normalized 4,Ratio H/L normalized 5,Ratio H/L variability [%] 4,Ratio H/L variability [%] 5,Ratio H/L count 4,Ratio H/L count 5,Ratio H/L iso-count 4,Ratio H/L iso-count 5,Ratio H/L type 4,Ratio H/L type 5,Sequence coverage 4 [%],Sequence coverage 5 [%],Intensity,Intensity L,Intensity H,Intensity 4,Intensity L 4,Intensity H 4,Intensity 5,Intensity L 5,Intensity H 5,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions
sp|O14455|RL36B_YEAST,sp|O14455|RL36B_YEAST,14,14,3,,1,14,14,3,3,14,3,14,1,3,69,69,15,11.135,100,100,0,40.273,18.362,9.7173,175.24,6,6,Median,NaN,10.044,NaN,10.315,NaN,123.25,1,5,1,5,Median,Median,35,69,210360000,1573200,208790000,29101000,274980,28826000,181260000,1298200,179960000,,,,14,868;1170;1933;2166;3093;3424;3425;3754;3755;3756;4050;4051;4336;4337,True;True;True;True;True;True;True;True;True;True;True;True;True;True,894;1204;1985;1986;2223;3191;3537;3538;3881;3882;3883;4190;4191;4192;4484;4485;4486,1290;1736;2861;2862;3215;4672;5164;5165;5707;5708;5709;5710;6182;6183;6184;6185;6186;6187;6188;6621;6622;6623;6624;6625,1852;2511;4135;4136;4137;4675;6703;7420;7421;8320;8321;8322;8323;8324;9059;9060;9061;9062;9063;9064;9065;9713;9714;9715;9716;9717;9718,1852;2511;4137;4675;6703;7420;7421;8320;8321;8324;9059;9062;9714;9718,1;2,20;90
sp|O14467|MBF1_YEAST,sp|O14467|MBF1_YEAST,6,6,6,,1,6,6,6,2,5,2,5,2,5,55.6,55.6,55.6,16.403,151,151,0,17.927,NaN,NaN,NaN,1,1,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0,1,Median,Median,27.8,44.4,15940000,84720,15855000,4320800,0,4320800,11619000,84720,11534000,,,,15,163;223;1593;3468;4036;4518,True;True;True;True;True;True,165;227;1634;3584;4176;4672,239;323;2360;2361;5225;6162;6907,334;452;3408;3409;7507;9033;10134,334;452;3408;7507;9033;10134,,
sp|P0CX58|YP12A_YEAST;sp|P0CX57|YA11A_YEAST;sp|O74302|YD13A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q04706|YM11A_YEAST,sp|P0CX58|YP12A_YEAST;sp|P0CX57|YA11A_YEAST;sp|O74302|YD13A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q04706|YM11A_YEAST,13;13;13;11;11,1;1;1;1;1,0;0;0;0;0,;;;;,5,13,1,0,10,12,1,1,0,0,36.6,4.8,0,49.072,440,440;440;440;440;440,0,9.7063,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,33.9,32.5,7219200,0,7219200,2838100,0,2838100,4381100,0,4381100,,,,16,189;675;969;1955;2553;2554;2671;3590;3591;3685;3984;4329;4600,False;False;False;False;False;False;False;False;True;False;False;False;False,193;694;997;2010;2627;2628;2629;2758;3709;3710;3807;4121;4476;4754,281;1003;1435;1436;2900;2901;3817;3818;3819;3820;4014;4015;4016;4017;4018;4019;4020;5402;5403;5404;5405;5556;5557;5558;6085;6086;6608;7018,389;390;391;392;1426;2048;2049;4210;4211;4212;5507;5508;5509;5510;5511;5512;5774;5775;5776;5777;5778;5779;5780;5781;5782;7750;7751;7752;7753;7754;7755;7976;7977;7978;7979;7980;8915;8916;8917;9692;10279,389;1426;2049;4212;5507;5510;5780;7750;7755;7978;8917;9692;10279,3,1
sp|O94742|SEM1_YEAST,sp|O94742|SEM1_YEAST,1,1,1,,1,1,1,1,1,1,1,1,1,1,13.5,13.5,13.5,10.386,89,89,0,3.2845,1.5768,0.15347,328.36,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,Median,Median,13.5,13.5,2177100,287620,1889500,749130,137270,611870,1428000,150360,1277700,,,,17,3552,TRUE,3671,5348;5349,7680;7681,7681,,
sp|P00127|QCR6_YEAST,sp|P00127|QCR6_YEAST,2,2,2,,1,2,2,2,2,0,2,0,2,0,19,19,19,17.257,147,147,0.0014205,1.1484,NaN,NaN,NaN,1,1,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,Median,Median,19,0,1218300,373650,844620,1218300,373650,844620,0,0,0,,,,18,305;1618,True;True,310;1659,453;2394,641;3463,641;3463,,
sp|P00330|ADH1_YEAST;sp|P00331|ADH2_YEAST;sp|P38113|ADH5_YEAST,sp|P00330|ADH1_YEAST,31;10;2,31;10;2,30;9;2,,3,31,31,30,12,30,12,30,12,29,67,67,67,36.849,348,348;348;351,0,201.78,88.497,1.3125,8.3336,21,18,Leave out requantified,88.497,53.943,1.3125,64.706,8.3336,150.73,8,13,5,13,Leave out requantified,Median,39.7,67,2279800000,23903000,2255900000,1144500000,11053000,1133400000,1135300000,12849000,1122500000,,,,19,80;316;317;328;331;414;415;548;678;679;682;787;788;826;886;1254;1276;1333;2093;2546;3173;3325;3326;3334;3341;3342;3343;4184;4360;4598;4602,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,81;321;322;323;324;336;339;340;430;431;565;697;698;701;811;812;851;912;1288;1311;1370;2148;2618;3273;3432;3433;3441;3442;3449;3450;3451;4330;4509;4752;4756,119;467;468;469;470;471;472;473;489;490;494;495;496;623;624;821;822;1007;1008;1009;1010;1011;1012;1017;1018;1173;1174;1230;1315;1847;1874;1875;1876;1964;1965;3107;3799;3800;3801;3802;4786;4787;4788;5012;5013;5022;5023;5024;5036;5037;5038;5039;6398;6659;6660;7014;7015;7020,171;660;661;662;663;664;665;666;667;668;669;670;671;672;673;674;675;676;677;678;679;680;681;682;683;684;685;704;705;706;707;708;709;710;711;712;716;717;718;719;720;896;897;1174;1175;1176;1177;1178;1179;1180;1181;1182;1183;1184;1431;1432;1433;1434;1435;1436;1437;1438;1439;1440;1441;1442;1448;1449;1450;1693;1694;1695;1777;1884;2661;2662;2663;2695;2696;2697;2698;2699;2700;2701;2702;2823;2824;4495;4496;5481;5482;5483;5484;5485;5486;6862;6863;6864;6865;6866;6867;6868;6869;6870;7179;7180;7193;7194;7195;7196;7197;7198;7199;7200;7201;7202;7203;7222;7223;7224;7225;7226;7227;7228;7229;7230;7231;9403;9404;9761;9762;9763;9764;9765;9766;9767;9768;9769;9770;9771;9772;9773;10274;10275;10281;10282,171;678;685;704;718;896;897;1174;1434;1441;1448;1693;1695;1777;1884;2661;2701;2824;4496;5481;6862;7179;7180;7197;7222;7225;7227;9403;9761;10275;10281,4;5,194;271
sp|P00358|G3P2_YEAST,sp|P00358|G3P2_YEAST,31,3,1,,1,31,3,1,20,26,3,2,1,0,72.3,16.3,6.6,35.846,332,332,0,21.277,27.456,0.40721,65.093,2,2,Median,27.456,NaN,0.40721,NaN,65.093,NaN,2,0,2,0,Median,Median,62.7,65.7,239800000,897680,238900000,102250000,897680,101350000,137550000,0,137550000,,,,20,761;896;958;959;960;1161;1227;1505;1706;1936;1937;2298;2299;2430;2431;2432;2496;2497;2498;2835;3690;4144;4145;4200;4261;4282;4350;4366;4367;4471;4588,False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False,783;922;986;987;988;1193;1261;1545;1750;1989;1990;1991;1992;2361;2362;2495;2496;2497;2498;2499;2563;2564;2565;2931;3812;4288;4289;4290;4346;4407;4428;4499;4515;4516;4625;4742,1126;1127;1327;1328;1421;1422;1423;1424;1723;1813;2234;2524;2525;2526;2866;2867;2868;2869;2870;2871;2872;2873;2874;2875;2876;3407;3408;3409;3410;3602;3603;3604;3605;3606;3702;3703;3704;3705;3706;3707;3708;3709;4277;5565;5566;6336;6337;6338;6339;6340;6341;6342;6343;6422;6423;6515;6546;6643;6644;6645;6667;6668;6669;6834;6835;6836;6837;7001,1605;1606;1607;1608;1609;1610;1611;1900;1901;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2474;2475;2616;3220;3648;3649;3650;3651;3652;3653;3654;3655;3656;3657;3658;3659;3660;3661;3662;3663;4142;4143;4144;4145;4146;4147;4148;4149;4150;4151;4152;4153;4154;4155;4156;4157;4158;4159;4160;4161;4162;4163;4164;4165;4166;4167;4168;4169;4170;4171;4172;4173;4174;4175;4176;4177;4178;4179;4956;4957;4958;4959;5203;5204;5205;5206;5207;5208;5209;5210;5211;5212;5343;5344;5345;5346;5347;5348;5349;5350;5351;5352;5353;5354;5355;5356;5357;5358;5359;5360;5361;5362;5363;5364;5365;6159;7990;7991;7992;7993;7994;7995;7996;7997;7998;7999;8000;9295;9296;9297;9298;9299;9300;9301;9302;9303;9304;9305;9306;9307;9432;9433;9434;9435;9436;9571;9611;9612;9737;9738;9739;9740;9741;9742;9743;9782;9783;9784;10030;10031;10032;10033;10034;10035;10036;10037;10038;10039;10256;10257,1605;1900;2027;2030;2034;2474;2616;3220;3658;4175;4178;4957;4958;5203;5204;5211;5344;5352;5356;6159;7993;9304;9307;9432;9571;9611;9739;9783;9784;10035;10256,6;7;8;9;10,128;131;173;179;229
sp|P00359|G3P3_YEAST,sp|P00359|G3P3_YEAST,38,38,10,,1,38,38,10,23,33,23,33,6,9,98.5,98.5,49.7,35.746,332,332,0,323.31,116.88,19.285,227.02,29,23,Leave out requantified,79.143,632.76,1.6922,88.212,200.52,168.66,14,15,10,13,Leave out requantified,Plateau,78.3,96.7,5138700000,47584000,5091100000,1755500000,18886000,1736600000,3383200000,28698000,3354500000,,,,21,3;761;896;958;959;960;1161;1227;1401;1416;1417;1505;1706;1831;1936;1937;2211;2298;2299;2430;2431;2432;2496;2497;2498;3690;4142;4143;4200;4261;4282;4350;4366;4367;4444;4471;4472;4588,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3;783;922;986;987;988;1193;1261;1441;1456;1457;1545;1750;1879;1989;1990;1991;1992;2269;2361;2362;2495;2496;2497;2498;2499;2563;2564;2565;3812;4284;4285;4286;4287;4346;4407;4428;4499;4515;4516;4597;4625;4626;4742,4;1126;1127;1327;1328;1421;1422;1423;1424;1723;1813;2080;2100;2101;2102;2234;2524;2525;2526;2709;2710;2866;2867;2868;2869;2870;2871;2872;2873;2874;2875;2876;3275;3276;3407;3408;3409;3410;3602;3603;3604;3605;3606;3702;3703;3704;3705;3706;3707;3708;3709;5565;5566;6327;6328;6329;6330;6331;6332;6333;6334;6335;6422;6423;6515;6546;6643;6644;6645;6667;6668;6669;6790;6834;6835;6836;6837;6838;7001,4;1605;1606;1607;1608;1609;1610;1611;1900;1901;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2474;2475;2616;3014;3035;3036;3037;3220;3648;3649;3650;3651;3652;3653;3654;3655;3656;3657;3658;3659;3660;3661;3662;3663;3928;3929;3930;4142;4143;4144;4145;4146;4147;4148;4149;4150;4151;4152;4153;4154;4155;4156;4157;4158;4159;4160;4161;4162;4163;4164;4165;4166;4167;4168;4169;4170;4171;4172;4173;4174;4175;4176;4177;4178;4179;4750;4751;4752;4956;4957;4958;4959;5203;5204;5205;5206;5207;5208;5209;5210;5211;5212;5343;5344;5345;5346;5347;5348;5349;5350;5351;5352;5353;5354;5355;5356;5357;5358;5359;5360;5361;5362;5363;5364;5365;7990;7991;7992;7993;7994;7995;7996;7997;7998;7999;8000;9266;9267;9268;9269;9270;9271;9272;9273;9274;9275;9276;9277;9278;9279;9280;9281;9282;9283;9284;9285;9286;9287;9288;9289;9290;9291;9292;9293;9294;9432;9433;9434;9435;9436;9571;9611;9612;9737;9738;9739;9740;9741;9742;9743;9782;9783;9784;9969;9970;10030;10031;10032;10033;10034;10035;10036;10037;10038;10039;10040;10256;10257,4;1605;1900;2027;2030;2034;2474;2616;3014;3035;3037;3220;3658;3928;4175;4178;4750;4957;4958;5203;5204;5211;5344;5352;5356;7993;9266;9284;9432;9571;9611;9739;9783;9784;9969;10035;10040;10256,6;7;8;11,128;131;173;229
sp|P00360|G3P1_YEAST,sp|P00360|G3P1_YEAST,12,1,1,,1,12,1,1,7,11,0,1,0,1,40.7,6.6,6.6,35.75,332,332,0.0098039,0.32557,NaN,NaN,NaN,0,0,Median,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,Median,Median,32.2,40.7,1337900,0,1337900,0,0,0,1337900,0,1337900,,,,22,761;896;1227;1706;1935;2430;2431;3690;4144;4145;4200;4261,False;False;False;False;True;False;False;False;False;False;False;False,783;922;1261;1750;1988;2495;2496;2497;3812;4288;4289;4290;4346;4407,1126;1127;1327;1328;1813;2524;2525;2526;2865;3602;3603;3604;5565;5566;6336;6337;6338;6339;6340;6341;6342;6343;6422;6423;6515,1605;1606;1607;1608;1609;1610;1611;1900;1901;2616;3648;3649;3650;3651;3652;3653;3654;3655;3656;3657;3658;3659;3660;3661;3662;3663;4141;5203;5204;5205;5206;5207;5208;5209;7990;7991;7992;7993;7994;7995;7996;7997;7998;7999;8000;9295;9296;9297;9298;9299;9300;9301;9302;9303;9304;9305;9306;9307;9432;9433;9434;9435;9436;9571,1605;1900;2616;3658;4141;5203;5204;7993;9304;9307;9432;9571,9;10;12,173;179;229
sp|P00445|SODC_YEAST,sp|P00445|SODC_YEAST,12,12,12,,1,12,12,12,10,5,10,5,10,5,63.6,63.6,63.6,15.854,154,154,0,62.735,6.8539,7.1605,273.43,2,2,Median,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,Median,Median,63.6,42.2,63787000,261410,63525000,42746000,61741,42684000,21041000,199670,20841000,,,,23,1203;1903;2180;2181;3628;3629;3703;3767;3787;3788;4263;4264,True;True;True;True;True;True;True;True;True;True;True;True,1237;1954;2238;2239;3749;3750;3825;3894;3915;3916;4409;4410,1780;2818;3233;3234;5464;5465;5589;5723;5724;5762;5763;5764;5765;5766;6517;6518,2574;4069;4696;4697;7835;7836;7837;8033;8341;8342;8343;8344;8409;8410;8411;8412;8413;8414;8415;9574;9575;9576,2574;4069;4696;4697;7835;7836;8033;8343;8410;8415;9574;9575,,
